timestamp,AX,AY,AZ,GX,GY,GZ,ASVM,GSVM,MCU_TIME,FALL_EVENT,FALL_STATE
2026-03-11T16:18:22.648,0.158,0.932,0.44,0.929,-1.587,-2.532,1.042,3.129,13,0.0,IDLE_FALL
2026-03-11T16:18:22.660,0.16,0.931,0.437,1.839,-1.587,-2.812,1.041,3.716,14,0.0,IDLE_FALL
2026-03-11T16:18:22.674,0.166,0.935,0.434,1.559,-1.447,-3.022,1.044,3.695,14,0.0,IDLE_FALL
2026-03-11T16:18:22.688,0.164,0.938,0.437,1.069,-1.587,-3.092,1.047,3.636,13,0.0,IDLE_FALL
2026-03-11T16:18:22.701,0.161,0.941,0.438,0.929,-2.077,-2.952,1.05,3.727,14,0.0,IDLE_FALL
2026-03-11T16:18:22.715,0.165,0.94,0.443,1.069,-2.357,-2.882,1.052,3.873,14,0.0,IDLE_FALL
2026-03-11T16:18:22.729,0.164,0.937,0.446,1.419,-2.567,-3.092,1.051,4.262,13,0.0,IDLE_FALL
2026-03-11T16:18:22.738,0.161,0.938,0.443,1.419,-2.497,-3.022,1.05,4.169,14,0.0,IDLE_FALL
2026-03-11T16:18:22.756,0.165,0.936,0.439,1.209,-2.217,-3.022,1.047,3.938,14,0.0,IDLE_FALL
2026-03-11T16:18:22.769,0.164,0.938,0.436,0.719,-1.797,-2.952,1.047,3.53,13,0.0,IDLE_FALL
2026-03-11T16:18:22.783,0.165,0.935,0.436,0.579,-1.797,-3.022,1.045,3.563,14,0.0,IDLE_FALL
2026-03-11T16:18:22.797,0.167,0.931,0.44,0.859,-2.077,-3.022,1.043,3.766,14,0.0,IDLE_FALL
2026-03-11T16:18:22.810,0.168,0.932,0.44,2.259,-1.727,-2.882,1.044,4.048,13,0.0,IDLE_FALL
2026-03-11T16:18:22.823,0.166,0.94,0.44,3.449,-1.097,-2.812,1.05,4.583,14,0.0,IDLE_FALL
2026-03-11T16:18:22.837,0.166,0.941,0.444,2.959,-1.517,-2.742,1.054,4.31,14,0.0,IDLE_FALL
2026-03-11T16:18:22.848,0.168,0.937,0.447,2.539,-1.937,-2.952,1.052,4.349,13,0.0,IDLE_FALL
2026-03-11T16:18:22.865,0.162,0.94,0.438,1.699,-1.307,-2.462,1.049,3.264,14,0.0,IDLE_FALL
2026-03-11T16:18:22.878,0.158,0.938,0.428,0.369,-2.497,-2.392,1.043,3.477,14,0.0,IDLE_FALL
2026-03-11T16:18:22.893,0.151,0.934,0.42,0.929,-2.287,-2.602,1.035,3.586,13,0.0,IDLE_FALL
2026-03-11T16:18:22.906,0.151,0.932,0.421,3.309,-3.547,-3.162,1.034,5.79,14,0.0,IDLE_FALL
2026-03-11T16:18:22.916,0.158,0.935,0.438,5.689,-4.247,-3.232,1.045,7.8,14,0.0,IDLE_FALL
2026-03-11T16:18:22.928,0.162,0.948,0.458,6.109,-4.457,-2.812,1.065,8.068,13,0.0,IDLE_FALL
2026-03-11T16:18:22.947,0.157,0.955,0.459,3.519,-4.317,-2.812,1.071,6.239,14,0.0,IDLE_FALL
2026-03-11T16:18:22.958,0.156,0.944,0.451,0.229,-4.527,-3.092,1.058,5.487,14,0.0,IDLE_FALL
2026-03-11T16:18:22.974,0.158,0.933,0.441,-0.961,-4.807,-3.022,1.044,5.759,13,0.0,IDLE_FALL
2026-03-11T16:18:22.988,0.164,0.925,0.433,0.229,-4.247,-2.882,1.034,5.138,14,0.0,IDLE_FALL
2026-03-11T16:18:22.999,0.167,0.924,0.434,1.979,-2.637,-2.672,1.035,4.244,14,0.0,IDLE_FALL
2026-03-11T16:18:23.015,0.164,0.93,0.436,2.119,-1.377,-2.392,1.04,3.479,13,0.0,IDLE_FALL
2026-03-11T16:18:23.029,0.166,0.932,0.437,1.349,-1.237,-2.252,1.043,2.902,14,0.0,IDLE_FALL
2026-03-11T16:18:23.043,0.164,0.933,0.433,0.929,-2.287,-2.252,1.041,3.341,14,0.0,IDLE_FALL
2026-03-11T16:18:23.056,0.163,0.929,0.436,1.419,-3.547,-1.832,1.039,4.237,13,0.0,IDLE_FALL
2026-03-11T16:18:23.068,0.163,0.928,0.437,2.469,-4.317,-1.762,1.038,5.276,14,0.0,IDLE_FALL
2026-03-11T16:18:23.084,0.166,0.927,0.447,3.379,-3.967,-1.622,1.043,5.458,14,0.0,IDLE_FALL
2026-03-11T16:18:23.094,0.167,0.923,0.448,4.149,-2.847,-1.622,1.039,5.287,13,0.0,IDLE_FALL
2026-03-11T16:18:23.111,0.167,0.924,0.449,5.339,-2.007,-1.972,1.041,6.035,14,0.0,IDLE_FALL
2026-03-11T16:18:23.124,0.159,0.926,0.455,5.059,-2.287,-1.342,1.044,5.712,14,0.0,IDLE_FALL
2026-03-11T16:18:23.138,0.148,0.918,0.464,4.569,-3.057,-1.062,1.039,5.599,13,0.0,IDLE_FALL
2026-03-11T16:18:23.150,0.137,0.901,0.462,3.099,-3.337,-1.202,1.022,4.71,14,0.0,IDLE_FALL
2026-03-11T16:18:23.165,0.128,0.864,0.454,0.929,-4.737,-2.812,0.985,5.587,14,0.0,IDLE_FALL
2026-03-11T16:18:23.178,0.111,0.811,0.449,-0.891,-8.867,-4.912,0.934,10.176,13,0.0,IDLE_FALL
2026-03-11T16:18:23.192,0.11,0.745,0.47,2.679,-19.577,-8.272,0.888,21.421,14,0.0,IDLE_FALL
2026-03-11T16:18:23.206,0.096,0.678,0.505,15.629,-26.857,-12.122,0.851,33.354,14,0.0,IDLE_FALL
2026-03-11T16:18:23.220,0.092,0.595,0.534,29.979,-25.947,-16.882,0.805,43.093,13,0.0,IDLE_FALL
2026-03-11T16:18:23.220,0.094,0.563,0.537,32.289,-24.057,-18.072,0.784,44.135,4,0.0,CHECK_FALL
2026-03-11T16:18:23.228,0.099,0.534,0.541,32.149,-21.607,-19.192,0.766,43.229,5,0.0,CHECK_FALL
2026-03-11T16:18:23.240,0.112,0.468,0.513,18.639,-7.887,-20.382,0.704,28.723,14,0.0,CHECK_FALL
2026-03-11T16:18:23.256,0.073,0.427,0.416,-7.051,13.813,-24.722,0.6,29.183,14,0.0,CHECK_FALL
2026-03-11T16:18:23.270,0.07,0.386,0.243,-41.561,41.183,-30.392,0.462,65.932,13,0.0,CHECK_FALL
2026-03-11T16:18:23.282,0.136,0.363,0.074,-72.781,66.313,-28.852,0.394,102.601,14,0.0,CHECK_FALL
2026-03-11T16:18:23.297,0.161,0.437,-0.197,-71.521,80.313,-22.762,0.506,109.925,14,0.0,CHECK_FALL
2026-03-11T16:18:23.310,0.163,0.528,-0.364,-19.931,76.813,-21.712,0.662,82.273,13,0.0,CHECK_FALL
2026-03-11T16:18:23.321,0.25,0.659,-0.25,68.199,44.613,-9.602,0.748,82.058,14,0.0,CHECK_FALL
2026-03-11T16:18:23.338,0.36,0.955,0.021,151.289,-10.197,22.948,1.021,153.359,14,0.0,CHECK_FALL
2026-03-11T16:18:23.352,0.389,1.429,0.412,195.179,-54.297,58.368,1.537,210.831,13,0.0,CHECK_FALL
2026-03-11T16:18:23.365,0.291,1.792,0.685,177.889,-68.367,68.448,1.94,202.494,14,0.0,CHECK_FALL
2026-03-11T16:18:23.380,0.137,1.887,0.839,92.349,-83.837,54.308,2.07,136.038,14,0.0,CHECK_FALL
2026-03-11T16:18:23.393,0.095,1.826,1.133,-28.541,-91.397,27.078,2.151,99.505,13,0.0,CHECK_FALL
2026-03-11T16:18:23.406,0.239,1.669,0.893,-109.181,-79.147,22.878,1.908,136.778,14,0.0,CHECK_FALL
2026-03-11T16:18:23.420,0.295,1.701,0.678,-133.541,-33.297,15.388,1.855,138.487,14,0.0,CHECK_FALL
2026-03-11T16:18:23.432,0.339,1.831,0.418,-82.511,8.563,13.008,1.908,83.968,13,0.0,CHECK_FALL
2026-03-11T16:18:23.446,0.34,2.065,0.38,10.239,41.393,8.178,2.127,43.418,14,0.0,CHECK_FALL
2026-03-11T16:18:23.456,0.38,2.282,0.576,86.189,41.743,3.908,2.384,95.845,14,0.0,CHECK_FALL
2026-03-11T16:18:23.475,0.433,2.346,0.977,64.699,34.533,4.818,2.578,73.496,13,0.0,CHECK_FALL
2026-03-11T16:18:23.488,0.433,2.413,1.017,0.019,21.163,13.078,2.654,24.878,14,0.0,CHECK_FALL
2026-03-11T16:18:23.502,0.392,2.402,0.897,-66.761,-1.657,9.578,2.594,67.465,14,0.0,CHECK_FALL
2026-03-11T16:18:23.516,0.413,2.164,0.871,-90.561,-10.757,4.538,2.37,91.311,13,0.0,CHECK_FALL
