timestamp,AX,AY,AZ,GX,GY,GZ,ASVM,GSVM,MCU_TIME,FALL_EVENT,FALL_STATE
2026-03-11T16:15:39.236,0.115,0.926,0.455,-0.331,-3.617,-2.952,1.038,4.68,13,0.0,IDLE_FALL
2026-03-11T16:15:39.245,0.121,0.931,0.458,2.049,-2.987,-2.672,1.045,4.501,14,0.0,IDLE_FALL
2026-03-11T16:15:39.253,0.117,0.936,0.462,3.169,-3.967,-2.672,1.05,5.737,14,0.0,IDLE_FALL
2026-03-11T16:15:39.271,0.123,0.937,0.463,1.629,-3.477,-2.882,1.052,4.801,13,0.0,IDLE_FALL
2026-03-11T16:15:39.283,0.124,0.946,0.437,-2.361,-4.317,-2.672,1.049,5.599,14,0.0,IDLE_FALL
2026-03-11T16:15:39.299,0.11,0.942,0.427,-3.761,-5.577,-3.022,1.04,7.374,14,0.0,IDLE_FALL
2026-03-11T16:15:39.315,0.109,0.925,0.435,-0.681,-3.827,-3.092,1.028,4.967,13,0.0,IDLE_FALL
2026-03-11T16:15:39.325,0.112,0.916,0.448,5.339,-2.637,-3.092,1.026,6.709,14,0.0,IDLE_FALL
2026-03-11T16:15:39.342,0.117,0.931,0.462,8.629,-2.847,-2.672,1.046,9.471,14,0.0,IDLE_FALL
2026-03-11T16:15:39.355,0.119,0.955,0.485,6.389,-3.337,-2.462,1.077,7.617,13,0.0,IDLE_FALL
2026-03-11T16:15:39.367,0.115,0.961,0.479,-0.821,-4.177,-2.952,1.08,5.18,14,0.0,IDLE_FALL
2026-03-11T16:15:39.373,0.116,0.941,0.463,-6.421,-4.527,-3.372,1.055,8.549,14,0.0,IDLE_FALL
2026-03-11T16:15:39.396,0.117,0.927,0.441,-5.931,-3.407,-3.512,1.033,7.689,13,0.0,IDLE_FALL
2026-03-11T16:15:39.410,0.118,0.919,0.433,-0.961,-1.727,-3.302,1.022,3.848,14,0.0,IDLE_FALL
2026-03-11T16:15:39.422,0.114,0.923,0.437,3.729,-1.097,-2.952,1.027,4.881,14,0.0,IDLE_FALL
2026-03-11T16:15:39.435,0.112,0.937,0.452,5.269,-1.727,-2.602,1.046,6.125,13,0.0,IDLE_FALL
2026-03-11T16:15:39.447,0.115,0.95,0.467,3.939,-2.217,-2.812,1.065,5.323,14,0.0,IDLE_FALL
2026-03-11T16:15:39.465,0.113,0.951,0.47,0.089,-2.637,-2.882,1.067,3.907,14,0.0,IDLE_FALL
2026-03-11T16:15:39.477,0.114,0.943,0.459,-3.271,-2.777,-2.882,1.055,5.169,13,0.0,IDLE_FALL
2026-03-11T16:15:39.492,0.115,0.929,0.448,-3.341,-2.777,-2.742,1.038,5.137,14,0.0,IDLE_FALL
2026-03-11T16:15:39.501,0.124,0.927,0.445,-0.541,-2.777,-2.392,1.036,3.705,14,0.0,IDLE_FALL
2026-03-11T16:15:39.518,0.122,0.925,0.456,2.399,-3.197,-2.042,1.039,4.488,13,0.0,IDLE_FALL
2026-03-11T16:15:39.531,0.126,0.926,0.458,2.539,-1.937,-1.202,1.041,3.412,14,0.0,IDLE_FALL
2026-03-11T16:15:39.540,0.128,0.929,0.463,1.419,-2.147,-0.362,1.046,2.599,14,0.0,IDLE_FALL
2026-03-11T16:15:39.557,0.126,0.926,0.463,1.839,-0.467,0.408,1.043,1.941,13,0.0,IDLE_FALL
2026-03-11T16:15:39.574,0.123,0.929,0.458,2.189,-0.047,1.248,1.043,2.52,14,0.0,IDLE_FALL
2026-03-11T16:15:39.585,0.124,0.934,0.448,3.169,-0.677,2.438,1.043,4.055,14,0.0,IDLE_FALL
2026-03-11T16:15:39.600,0.111,0.936,0.457,6.179,-2.777,2.018,1.047,7.069,13,0.0,IDLE_FALL
2026-03-11T16:15:39.616,0.106,0.924,0.481,7.579,-4.177,1.318,1.047,8.754,14,0.0,IDLE_FALL
2026-03-11T16:15:39.625,0.102,0.929,0.496,6.739,-6.487,0.268,1.058,9.358,14,0.0,IDLE_FALL
2026-03-11T16:15:39.643,0.114,0.93,0.505,5.689,-8.307,-0.012,1.065,10.068,13,0.0,IDLE_FALL
2026-03-11T16:15:39.654,0.128,0.926,0.512,6.039,-8.447,-0.082,1.066,10.384,14,0.0,IDLE_FALL
2026-03-11T16:15:39.665,0.141,0.915,0.512,5.899,-6.627,-0.152,1.058,8.874,14,0.0,IDLE_FALL
2026-03-11T16:15:39.682,0.133,0.921,0.5,4.779,-3.267,-0.712,1.056,5.833,13,0.0,IDLE_FALL
2026-03-11T16:15:39.697,0.126,0.936,0.473,2.679,-0.817,-1.202,1.056,3.048,14,0.0,IDLE_FALL
2026-03-11T16:15:39.707,0.12,0.94,0.463,2.049,-2.497,-1.482,1.055,3.554,14,0.0,IDLE_FALL
2026-03-11T16:15:39.725,0.128,0.933,0.465,2.399,-6.907,-1.832,1.05,7.538,13,0.0,IDLE_FALL
2026-03-11T16:15:39.739,0.12,0.938,0.463,4.919,-10.127,-2.602,1.053,11.555,14,0.0,IDLE_FALL
2026-03-11T16:15:39.749,0.106,0.945,0.463,8.139,-11.457,-4.492,1.058,14.754,14,0.0,IDLE_FALL
2026-03-11T16:15:39.763,0.083,0.946,0.462,8.209,-11.457,-6.942,1.056,15.711,13,0.0,IDLE_FALL
2026-03-11T16:15:39.780,0.062,0.944,0.459,6.109,-13.557,-9.252,1.051,17.513,14,0.0,IDLE_FALL
2026-03-11T16:15:39.791,0.08,0.936,0.46,6.319,-17.267,-11.702,1.046,21.795,14,0.0,IDLE_FALL
2026-03-11T16:15:39.807,0.127,0.918,0.466,9.469,-20.977,-12.612,1.037,26.244,13,0.0,IDLE_FALL
2026-03-11T16:15:39.816,0.184,0.888,0.48,13.949,-22.097,-11.702,1.026,28.632,14,0.0,IDLE_FALL
2026-03-11T16:15:39.834,0.213,0.852,0.493,15.979,-20.347,-9.602,1.007,27.596,14,0.0,IDLE_FALL
2026-03-11T16:15:39.847,0.243,0.833,0.509,16.609,-12.227,-6.522,1.006,21.631,14,0.0,IDLE_FALL
2026-03-11T16:15:39.855,0.269,0.852,0.509,19.479,-3.757,-3.932,1.028,20.224,13,0.0,IDLE_FALL
2026-03-11T16:15:39.873,0.285,0.885,0.516,28.159,1.633,-1.972,1.063,28.275,14,0.0,IDLE_FALL
2026-03-11T16:15:39.886,0.269,0.917,0.509,33.199,7.513,0.338,1.083,34.04,14,0.0,IDLE_FALL
2026-03-11T16:15:39.898,0.181,0.926,0.485,32.289,9.543,-0.362,1.061,33.671,13,0.0,IDLE_FALL
2026-03-11T16:15:39.914,0.107,0.893,0.449,29.909,7.653,-4.982,1.005,31.272,14,0.0,IDLE_FALL
2026-03-11T16:15:39.929,0.081,0.854,0.418,28.509,3.313,-10.372,0.954,30.517,14,0.0,IDLE_FALL
2026-03-11T16:15:39.941,0.088,0.849,0.395,29.209,-1.027,-14.712,0.94,32.721,13,0.0,IDLE_FALL
2026-03-11T16:15:39.949,0.113,0.881,0.396,32.499,-4.107,-15.482,0.972,36.232,14,0.0,IDLE_FALL
