timestamp,AX,AY,AZ,GX,GY,GZ,ASVM,GSVM,MCU_TIME,FALL_EVENT,FALL_STATE
2026-04-02T16:17:39.466,0.241,-0.947,0.349,-0.261,-2.917,-7.642,1.038,8.184,11,0.0,IDLE_FALL
2026-04-02T16:17:39.467,0.269,-0.95,0.354,3.309,-3.337,-4.842,1.049,6.747,10,0.0,IDLE_FALL
2026-04-02T16:17:39.467,0.262,-0.935,0.391,9.049,-4.667,-2.392,1.047,10.459,11,0.0,IDLE_FALL
2026-04-02T16:17:39.467,0.243,-0.892,0.479,10.099,-6.907,-0.152,1.041,12.236,11,0.0,IDLE_FALL
2026-04-02T16:17:39.467,0.242,-0.867,0.524,0.719,-7.327,1.458,1.042,7.505,11,0.0,IDLE_FALL
2026-04-02T16:17:39.467,0.205,-0.947,0.566,3.519,-4.037,2.088,1.122,5.748,116,0.0,IDLE_FALL
2026-04-02T16:17:39.467,0.147,-0.843,0.302,8.349,-36.517,-15.342,0.907,40.479,11,0.0,IDLE_FALL
2026-04-02T16:17:39.494,0.396,-0.957,0.649,3.519,-3.617,-4.562,1.222,6.803,10,0.0,IDLE_FALL
2026-04-02T16:17:39.500,0.351,-1.059,0.448,-14.891,-18.457,15.318,1.203,28.232,11,0.0,IDLE_FALL
2026-04-02T16:17:39.513,0.246,-0.935,0.651,-22.591,11.503,21.268,1.166,33.091,11,0.0,IDLE_FALL
2026-04-02T16:17:39.523,0.161,-0.88,0.405,-36.311,18.013,14.618,0.982,43.089,11,0.0,IDLE_FALL
2026-04-02T16:17:39.533,0.154,-0.874,0.368,-34.211,24.103,11.258,0.961,43.337,10,0.0,IDLE_FALL
2026-04-02T16:17:39.543,0.117,-0.882,0.228,-25.461,18.713,5.728,0.918,32.113,11,0.0,IDLE_FALL
2026-04-02T16:17:39.558,0.104,-0.898,0.189,-10.901,9.543,2.228,0.923,14.658,11,0.0,IDLE_FALL
2026-04-02T16:17:39.567,0.161,-0.945,0.215,-1.031,-9.147,4.748,0.982,10.358,11,0.0,IDLE_FALL
2026-04-02T16:17:39.579,0.163,-0.952,0.241,12.759,-16.427,7.408,0.996,22.08,10,0.0,IDLE_FALL
2026-04-02T16:17:39.589,0.137,-0.944,0.352,21.999,-14.117,6.428,1.016,26.918,11,0.0,IDLE_FALL
2026-04-02T16:17:39.600,0.14,-0.947,0.399,25.149,-10.337,2.998,1.037,27.355,11,0.0,IDLE_FALL
2026-04-02T16:17:39.612,0.145,-0.944,0.462,21.509,-5.507,0.408,1.06,22.207,11,0.0,IDLE_FALL
2026-04-02T16:17:39.621,0.163,-0.946,0.488,13.109,-0.817,-1.762,1.077,13.252,10,0.0,IDLE_FALL
2026-04-02T16:17:39.631,0.187,-0.945,0.485,4.849,-0.817,-0.992,1.079,5.016,11,0.0,IDLE_FALL
2026-04-02T16:17:39.641,0.202,-0.952,0.471,-2.921,-0.747,1.878,1.082,3.552,11,0.0,IDLE_FALL
2026-04-02T16:17:39.653,0.191,-0.939,0.451,-9.501,-3.057,4.538,1.059,10.964,10,0.0,IDLE_FALL
2026-04-02T16:17:39.664,0.183,-0.924,0.409,-12.021,-4.807,5.238,1.027,13.966,11,0.0,IDLE_FALL
2026-04-02T16:17:39.676,0.176,-0.921,0.387,-10.411,-4.177,4.818,1.015,12.209,11,0.0,IDLE_FALL
2026-04-02T16:17:39.682,0.181,-0.918,0.382,-8.031,-1.517,4.468,1.01,9.315,11,0.0,IDLE_FALL
2026-04-02T16:17:39.688,0.175,-0.917,0.377,-5.441,-0.747,4.188,1.007,6.907,10,0.0,IDLE_FALL
2026-04-02T16:17:39.707,0.174,-0.92,0.365,-2.361,-2.777,3.558,1.005,5.094,11,0.0,IDLE_FALL
2026-04-02T16:17:39.711,0.174,-0.929,0.369,0.369,-4.177,2.928,1.015,5.115,11,0.0,IDLE_FALL
2026-04-02T16:17:39.728,0.177,-0.939,0.391,3.379,-3.757,2.788,1.033,5.771,11,0.0,IDLE_FALL
2026-04-02T16:17:39.728,0.167,-0.94,0.399,4.989,-4.177,2.298,1.035,6.901,10,0.0,IDLE_FALL
2026-04-02T16:17:39.744,0.178,-0.941,0.424,6.529,-4.387,3.418,1.048,8.577,11,0.0,IDLE_FALL
2026-04-02T16:17:39.760,0.17,-0.936,0.453,6.669,-5.507,3.698,1.054,9.407,11,0.0,IDLE_FALL
2026-04-02T16:17:39.760,0.157,-0.934,0.477,4.779,-5.437,3.348,1.06,7.976,11,0.0,IDLE_FALL
2026-04-02T16:17:39.783,0.152,-0.941,0.482,-0.191,-5.157,2.928,1.068,5.934,10,0.0,IDLE_FALL
2026-04-02T16:17:39.783,0.147,-0.939,0.479,-6.001,-4.247,2.298,1.065,7.703,11,0.0,IDLE_FALL
2026-04-02T16:17:39.801,0.151,-0.937,0.456,-9.711,-4.177,1.738,1.053,10.713,11,0.0,IDLE_FALL
2026-04-02T16:17:39.817,0.15,-0.938,0.426,-12.161,-4.317,1.248,1.041,12.965,11,0.0,IDLE_FALL
2026-04-02T16:17:39.817,0.154,-0.947,0.407,-12.511,-4.317,0.198,1.042,13.237,10,0.0,IDLE_FALL
2026-04-02T16:17:39.833,0.156,-0.95,0.379,-11.111,-4.527,0.058,1.034,11.998,11,0.0,IDLE_FALL
2026-04-02T16:17:39.849,0.149,-0.946,0.358,-7.891,-4.107,0.128,1.023,8.897,11,0.0,IDLE_FALL
2026-04-02T16:17:39.856,0.143,-0.954,0.338,-6.491,-3.967,-0.572,1.022,7.629,11,0.0,IDLE_FALL
2026-04-02T16:17:39.869,0.154,-0.96,0.34,0.929,-5.927,-1.132,1.03,6.105,10,0.0,IDLE_FALL
2026-04-02T16:17:39.869,0.148,-0.922,0.383,10.099,-8.307,0.968,1.009,13.112,11,0.0,IDLE_FALL
2026-04-02T16:17:39.889,0.145,-0.915,0.404,7.929,-7.677,0.268,1.011,11.04,11,0.0,IDLE_FALL
2026-04-02T16:17:39.901,0.15,-0.927,0.381,2.329,-5.717,-1.342,1.014,6.317,11,0.0,IDLE_FALL
2026-04-02T16:17:39.911,0.167,-0.945,0.366,1.769,-3.827,-2.252,1.027,4.78,10,0.0,IDLE_FALL
2026-04-02T16:17:39.919,0.173,-0.949,0.391,4.219,-3.407,-1.342,1.041,5.586,11,0.0,IDLE_FALL
2026-04-02T16:17:39.926,0.142,-0.929,0.417,8.069,-3.897,-0.572,1.028,8.979,11,0.0,IDLE_FALL
2026-04-02T16:17:39.943,0.129,-0.906,0.474,7.229,-5.017,-0.782,1.031,8.834,11,0.0,IDLE_FALL
2026-04-02T16:17:39.943,0.135,-0.906,0.481,2.469,-6.207,-1.272,1.035,6.8,10,0.0,IDLE_FALL
2026-04-02T16:17:39.959,0.153,-0.903,0.453,-2.641,-5.997,-0.992,1.022,6.628,11,0.0,IDLE_FALL
2026-04-02T16:17:39.975,0.161,-0.915,0.398,-4.251,-4.947,-0.502,1.011,6.542,11,0.0,IDLE_FALL
2026-04-02T16:17:39.975,0.163,-0.934,0.352,-0.821,-4.387,-0.362,1.011,4.478,10,0.0,IDLE_FALL
2026-04-02T16:17:39.991,0.157,-0.948,0.341,4.359,-5.437,0.128,1.02,6.97,11,0.0,IDLE_FALL
2026-04-02T16:17:40.008,0.152,-0.962,0.359,9.539,-6.627,-0.362,1.037,11.621,11,0.0,IDLE_FALL
2026-04-02T16:17:40.008,0.139,-0.965,0.384,10.309,-7.887,-1.552,1.048,13.072,11,0.0,IDLE_FALL
2026-04-02T16:17:40.023,0.147,-0.96,0.416,8.559,-7.817,-2.672,1.057,11.895,10,0.0,IDLE_FALL
2026-04-02T16:17:40.039,0.156,-0.952,0.438,5.619,-6.697,-2.812,1.059,9.183,11,0.0,IDLE_FALL
2026-04-02T16:17:40.039,0.159,-0.934,0.447,1.559,-4.877,-2.672,1.047,5.775,11,0.0,IDLE_FALL
2026-04-02T16:17:40.065,0.162,-0.927,0.444,-1.941,-3.757,-2.602,1.041,4.965,11,0.0,IDLE_FALL
2026-04-02T16:17:40.069,0.163,-0.923,0.426,-5.441,-3.127,-2.532,1.029,6.767,10,0.0,IDLE_FALL
2026-04-02T16:17:40.081,0.158,-0.919,0.4,-7.261,-3.127,-2.952,1.015,8.439,11,0.0,IDLE_FALL
2026-04-02T16:17:40.093,0.161,-0.927,0.362,-7.751,-3.407,-3.302,1.008,9.088,11,0.0,IDLE_FALL
2026-04-02T16:17:40.101,0.156,-0.925,0.342,-5.931,-4.177,-3.722,0.998,8.153,11,0.0,IDLE_FALL
2026-04-02T16:17:40.116,0.162,-0.938,0.339,-2.221,-4.527,-3.512,1.01,6.145,10,0.0,IDLE_FALL
2026-04-02T16:17:40.116,0.161,-0.939,0.347,1.279,-4.667,-3.162,1.014,5.781,11,0.0,IDLE_FALL
2026-04-02T16:17:40.135,0.148,-0.942,0.349,3.099,-4.177,-3.512,1.015,6.276,11,0.0,IDLE_FALL
2026-04-02T16:17:40.145,0.148,-0.949,0.363,4.849,-4.247,-3.792,1.027,7.478,11,0.0,IDLE_FALL
2026-04-02T16:17:40.151,0.148,-0.948,0.371,5.689,-4.037,-4.142,1.029,8.113,10,0.0,IDLE_FALL
2026-04-02T16:17:40.161,0.149,-0.951,0.375,5.409,-4.667,-4.492,1.034,8.439,11,0.0,IDLE_FALL
2026-04-02T16:17:40.178,0.147,-0.952,0.373,4.569,-5.087,-4.912,1.033,8.419,11,0.0,IDLE_FALL
2026-04-02T16:17:40.178,0.154,-0.953,0.375,4.079,-5.017,-4.772,1.036,8.036,11,0.0,IDLE_FALL
2026-04-02T16:17:40.196,0.153,-0.951,0.388,3.589,-4.107,-4.352,1.039,6.978,10,0.0,IDLE_FALL
2026-04-02T16:17:40.214,0.15,-0.949,0.389,1.909,-3.127,-4.562,1.037,5.851,11,0.0,IDLE_FALL
2026-04-02T16:17:40.214,0.153,-0.947,0.381,0.789,-3.057,-5.332,1.032,6.196,11,0.0,IDLE_FALL
2026-04-02T16:17:40.235,0.16,-0.95,0.386,-0.051,-2.987,-5.332,1.038,6.112,11,0.0,IDLE_FALL
2026-04-02T16:17:40.244,0.17,-0.946,0.38,-1.031,-2.637,-5.262,1.033,5.975,10,0.0,IDLE_FALL
2026-04-02T16:17:40.252,0.165,-0.946,0.38,-1.171,-2.567,-5.472,1.032,6.156,11,0.0,IDLE_FALL
2026-04-02T16:17:40.260,0.158,-0.943,0.373,-0.681,-2.287,-6.172,1.026,6.617,11,0.0,IDLE_FALL
2026-04-02T16:17:40.277,0.159,-0.942,0.373,0.019,-1.797,-6.382,1.026,6.63,11,0.0,IDLE_FALL
2026-04-02T16:17:40.277,0.152,-0.938,0.376,0.369,-1.377,-6.732,1.022,6.881,10,0.0,IDLE_FALL
2026-04-02T16:17:40.294,0.154,-0.937,0.378,0.789,-0.957,-6.872,1.022,6.983,11,0.0,IDLE_FALL
2026-04-02T16:17:40.303,0.149,-0.932,0.382,0.999,-0.117,-6.662,1.019,6.737,11,0.0,IDLE_FALL
2026-04-02T16:17:40.314,0.146,-0.932,0.379,1.559,0.303,-6.942,1.017,7.121,11,0.0,IDLE_FALL
2026-04-02T16:17:40.331,0.151,-0.935,0.367,3.379,-0.117,-7.362,1.016,8.101,10,0.0,IDLE_FALL
2026-04-02T16:17:40.341,0.157,-0.939,0.358,5.339,-0.257,-7.432,1.017,9.154,11,0.0,IDLE_FALL
2026-04-02T16:17:40.341,0.164,-0.933,0.349,7.859,-0.747,-7.712,1.01,11.036,11,0.0,IDLE_FALL
2026-04-02T16:17:40.357,0.181,-0.93,0.345,10.729,-1.867,-7.642,1.009,13.304,10,0.0,IDLE_FALL
