timestamp,AX,AY,AZ,GX,GY,GZ,ASVM,GSVM,MCU_TIME,FALL_EVENT,FALL_STATE
2026-04-02T16:23:22.568,-0.013,-0.981,-0.144,-0.331,-5.297,0.338,0.991,5.318,11,0.0,IDLE_FALL
2026-04-02T16:23:22.568,-0.008,-0.984,-0.152,0.229,-4.037,-0.082,0.995,4.045,10,0.0,IDLE_FALL
2026-04-02T16:23:22.568,-0.013,-0.98,-0.147,1.839,-5.367,-0.432,0.991,5.69,11,0.0,IDLE_FALL
2026-04-02T16:23:22.580,-0.026,-0.98,-0.125,2.259,-6.207,-0.922,0.988,6.669,11,0.0,IDLE_FALL
2026-04-02T16:23:22.583,-0.014,-0.98,-0.14,2.679,-2.427,-0.992,0.99,3.748,10,0.0,IDLE_FALL
2026-04-02T16:23:22.585,-0.018,-0.973,-0.106,-1.871,-3.127,-0.362,0.979,3.662,144,0.0,IDLE_FALL
2026-04-02T16:23:22.587,-0.017,-0.97,-0.113,-1.941,-2.707,-0.782,0.977,3.422,11,0.0,IDLE_FALL
2026-04-02T16:23:22.596,-0.02,-0.972,-0.131,-1.801,-2.567,-1.132,0.981,3.334,11,0.0,IDLE_FALL
2026-04-02T16:23:22.606,-0.017,-0.977,-0.146,-0.751,-1.727,-1.622,0.988,2.485,10,0.0,IDLE_FALL
2026-04-02T16:23:22.617,-0.012,-0.981,-0.143,0.159,-1.587,-1.832,0.991,2.429,11,0.0,IDLE_FALL
2026-04-02T16:23:22.627,-0.006,-0.98,-0.114,0.089,-2.497,-1.692,0.986,3.018,11,0.0,IDLE_FALL
2026-04-02T16:23:22.639,-0.008,-0.981,-0.124,-0.681,-2.427,-1.412,0.989,2.889,10,0.0,IDLE_FALL
2026-04-02T16:23:22.649,-0.01,-0.977,-0.133,-1.591,-1.867,-0.922,0.986,2.621,11,0.0,IDLE_FALL
2026-04-02T16:23:22.657,-0.012,-0.979,0.001,-1.521,-1.237,-0.852,0.979,2.138,11,0.0,IDLE_FALL
2026-04-02T16:23:22.670,-0.013,-0.979,-0.119,-1.241,-0.607,-0.992,0.986,1.701,11,0.0,IDLE_FALL
2026-04-02T16:23:22.679,-0.012,-0.976,-0.134,-1.241,0.163,-1.132,0.985,1.687,10,0.0,IDLE_FALL
2026-04-02T16:23:22.687,-0.014,-0.979,-0.147,-0.821,1.563,-1.622,0.99,2.397,11,0.0,IDLE_FALL
2026-04-02T16:23:22.701,-0.015,-0.978,-0.147,-0.961,2.053,-2.112,0.989,3.098,11,0.0,IDLE_FALL
2026-04-02T16:23:22.711,-0.013,-0.977,-0.135,-0.961,2.123,-2.322,0.986,3.289,11,0.0,IDLE_FALL
2026-04-02T16:23:22.711,-0.01,-0.977,-0.132,-0.961,2.053,-2.392,0.986,3.295,10,0.0,IDLE_FALL
2026-04-02T16:23:22.729,-0.006,-0.976,-0.132,-1.031,2.193,-2.322,0.985,3.356,11,0.0,IDLE_FALL
2026-04-02T16:23:22.745,-0.012,-0.977,-0.133,-0.891,2.753,-2.252,0.986,3.666,11,0.0,IDLE_FALL
2026-04-02T16:23:22.745,-0.012,-0.973,-0.132,-0.681,3.173,-2.182,0.982,3.91,11,0.0,IDLE_FALL
2026-04-02T16:23:22.762,-0.016,-0.975,-0.133,-0.611,3.453,-2.112,0.985,4.093,10,0.0,IDLE_FALL
2026-04-02T16:23:22.781,-0.012,-0.976,-0.133,-0.471,3.663,-1.972,0.985,4.186,11,0.0,IDLE_FALL
2026-04-02T16:23:22.781,-0.011,-0.975,-0.139,-0.471,3.453,-1.832,0.985,3.937,11,0.0,IDLE_FALL
2026-04-02T16:23:22.797,-0.01,-0.973,-0.142,0.089,3.173,-1.832,0.983,3.665,11,0.0,IDLE_FALL
2026-04-02T16:23:22.797,-0.008,-0.972,-0.14,0.649,3.173,-2.112,0.982,3.866,10,0.0,IDLE_FALL
2026-04-02T16:23:22.813,-0.011,-0.971,-0.14,1.419,3.103,-2.252,0.981,4.088,11,0.0,IDLE_FALL
2026-04-02T16:23:22.833,-0.009,-0.971,-0.14,2.119,3.453,-2.462,0.981,4.74,11,0.0,IDLE_FALL
2026-04-02T16:23:22.843,-0.008,-0.973,-0.131,2.119,3.873,-2.252,0.982,4.956,11,0.0,IDLE_FALL
2026-04-02T16:23:22.843,-0.006,-0.973,-0.129,2.049,3.873,-2.042,0.982,4.834,10,0.0,IDLE_FALL
2026-04-02T16:23:22.859,-0.004,-0.971,-0.124,1.979,3.733,-1.832,0.979,4.605,11,0.0,IDLE_FALL
2026-04-02T16:23:22.876,-0.005,-0.973,-0.126,2.609,3.243,-1.832,0.982,4.547,11,0.0,IDLE_FALL
2026-04-02T16:23:22.876,-0.004,-0.974,-0.124,2.959,2.753,-1.902,0.982,4.466,11,0.0,IDLE_FALL
2026-04-02T16:23:22.893,-0.005,-0.975,-0.123,3.379,2.263,-1.762,0.983,4.432,10,0.0,IDLE_FALL
2026-04-02T16:23:22.909,-0.004,-0.978,-0.126,2.959,1.563,-1.482,0.986,3.66,11,0.0,IDLE_FALL
2026-04-02T16:23:22.909,-0.007,-0.976,-0.129,2.399,1.073,-1.202,0.985,2.89,11,0.0,IDLE_FALL
2026-04-02T16:23:22.926,-0.006,-0.975,-0.141,2.679,1.913,-1.132,0.985,3.481,11,0.0,IDLE_FALL
2026-04-02T16:23:22.926,-0.005,-0.976,-0.144,3.379,3.243,-1.132,0.987,4.818,10,0.0,IDLE_FALL
2026-04-02T16:23:22.943,0.001,-0.975,-0.141,3.309,4.643,-1.272,0.985,5.841,11,0.0,IDLE_FALL
2026-04-02T16:23:22.959,0.004,-0.978,-0.147,3.799,4.853,-1.482,0.989,6.338,11,0.0,IDLE_FALL
2026-04-02T16:23:22.959,-0.01,-0.977,-0.14,5.759,3.593,-1.692,0.987,6.995,11,0.0,IDLE_FALL
2026-04-02T16:23:22.981,-0.018,-0.977,-0.14,6.179,3.663,-1.902,0.987,7.43,10,0.0,IDLE_FALL
2026-04-02T16:23:22.981,0.001,-0.966,-0.137,7.229,7.303,-1.762,0.976,10.425,11,0.0,IDLE_FALL
2026-04-02T16:23:22.997,0.028,-0.963,-0.08,6.179,7.723,-1.622,0.966,10.022,11,0.0,IDLE_FALL
2026-04-02T16:23:23.015,0.01,-0.974,-0.081,3.309,5.693,-2.042,0.978,6.894,10,0.0,IDLE_FALL
2026-04-02T16:23:23.020,-0.012,-0.979,-0.121,1.629,4.573,-1.832,0.987,5.188,11,0.0,IDLE_FALL
2026-04-02T16:23:23.037,-0.026,-0.98,-0.131,3.449,1.073,-1.482,0.989,3.904,11,0.0,IDLE_FALL
2026-04-02T16:23:23.037,-0.027,-0.978,-0.128,6.249,-0.327,-0.922,0.986,6.325,11,0.0,IDLE_FALL
2026-04-02T16:23:23.054,-0.013,-0.975,-0.129,7.859,0.233,-0.712,0.984,7.894,10,0.0,IDLE_FALL
2026-04-02T16:23:23.054,0.005,-0.98,-0.132,7.859,1.493,-0.852,0.989,8.045,11,0.0,IDLE_FALL
2026-04-02T16:23:23.071,0.009,-0.98,-0.118,6.879,1.283,-0.992,0.987,7.067,11,0.0,IDLE_FALL
2026-04-02T16:23:23.087,0.002,-0.985,-0.11,4.919,0.583,-1.202,0.991,5.097,11,0.0,IDLE_FALL
2026-04-02T16:23:23.087,-0.004,-0.989,-0.119,3.239,-0.047,-1.132,0.996,3.431,10,0.0,IDLE_FALL
2026-04-02T16:23:23.104,-0.005,-0.989,-0.124,1.979,0.443,-0.922,0.997,2.227,11,0.0,IDLE_FALL
2026-04-02T16:23:23.121,-0.007,-0.985,-0.122,1.419,1.423,-0.642,0.993,2.109,11,0.0,IDLE_FALL
2026-04-02T16:23:23.121,-0.01,-0.978,-0.113,1.489,1.983,-0.782,0.984,2.6,11,0.0,IDLE_FALL
2026-04-02T16:23:23.136,-0.01,-0.974,-0.104,1.559,2.263,-0.992,0.98,2.921,10,0.0,IDLE_FALL
2026-04-02T16:23:23.154,-0.013,-0.977,-0.115,1.279,1.983,-1.202,0.984,2.648,11,0.0,IDLE_FALL
2026-04-02T16:23:23.154,-0.01,-0.98,-0.127,1.559,1.913,-1.552,0.988,2.915,11,0.0,IDLE_FALL
2026-04-02T16:23:23.175,-0.007,-0.985,-0.131,2.049,1.563,-1.832,0.993,3.161,11,0.0,IDLE_FALL
2026-04-02T16:23:23.187,-0.0,-0.986,-0.112,2.119,1.003,-1.832,0.992,2.975,10,0.0,IDLE_FALL
2026-04-02T16:23:23.191,-0.002,-0.986,-0.108,1.419,0.233,-1.902,0.992,2.384,11,0.0,IDLE_FALL
2026-04-02T16:23:23.204,-0.004,-0.985,-0.124,0.789,0.583,-1.482,0.992,1.777,11,0.0,IDLE_FALL
2026-04-02T16:23:23.218,-0.006,-0.981,-0.112,0.649,0.933,-1.412,0.987,1.812,11,0.0,IDLE_FALL
2026-04-02T16:23:23.225,-0.003,-0.981,-0.101,0.579,1.143,-1.412,0.986,1.906,10,0.0,IDLE_FALL
2026-04-02T16:23:23.240,0.0,-0.979,-0.106,0.159,1.493,-1.412,0.985,2.061,11,0.0,IDLE_FALL
2026-04-02T16:23:23.240,-0.001,-0.982,-0.123,0.299,2.053,-1.692,0.989,2.677,11,0.0,IDLE_FALL
2026-04-02T16:23:23.255,0.001,-0.985,-0.125,0.859,2.683,-2.182,0.993,3.563,11,0.0,IDLE_FALL
2026-04-02T16:23:23.273,0.009,-0.984,-0.113,0.229,2.333,-2.602,0.99,3.502,10,0.0,IDLE_FALL
2026-04-02T16:23:23.273,0.015,-0.987,-0.112,-1.171,1.353,-2.392,0.993,2.987,11,0.0,IDLE_FALL
2026-04-02T16:23:23.289,0.021,-0.982,-0.123,-1.241,1.493,-2.182,0.99,2.92,11,0.0,IDLE_FALL
2026-04-02T16:23:23.307,0.019,-0.982,-0.13,0.509,2.263,-2.182,0.99,3.184,11,0.0,IDLE_FALL
2026-04-02T16:23:23.307,0.022,-0.98,-0.133,1.699,3.803,-2.112,0.989,4.67,10,0.0,IDLE_FALL
2026-04-02T16:23:23.321,0.018,-0.979,-0.127,1.419,4.503,-1.762,0.987,5.039,11,0.0,IDLE_FALL
2026-04-02T16:23:23.337,0.021,-0.969,-0.129,-0.191,4.573,-1.132,0.978,4.715,11,0.0,IDLE_FALL
2026-04-02T16:23:23.345,0.012,-0.967,-0.142,-0.611,4.993,-0.572,0.977,5.062,10,0.0,IDLE_FALL
2026-04-02T16:23:23.354,0.013,-0.966,-0.162,-0.401,6.183,-0.222,0.979,6.2,11,0.0,IDLE_FALL
2026-04-02T16:23:23.368,0.02,-0.964,-0.17,0.719,8.143,-0.362,0.979,8.182,11,0.0,IDLE_FALL
2026-04-02T16:23:23.376,0.029,-0.966,-0.16,2.329,9.193,-0.432,0.979,9.493,11,0.0,IDLE_FALL
2026-04-02T16:23:23.382,0.039,-0.976,-0.135,3.869,7.933,-0.292,0.986,8.831,10,0.0,IDLE_FALL
2026-04-02T16:23:23.398,0.043,-0.979,-0.119,4.009,5.693,0.198,0.987,6.965,11,0.0,IDLE_FALL
2026-04-02T16:23:23.398,0.045,-0.98,-0.118,3.589,4.013,1.248,0.988,5.526,11,0.0,IDLE_FALL
2026-04-02T16:23:23.414,0.051,-0.982,-0.131,2.959,3.173,2.158,0.992,4.846,11,0.0,IDLE_FALL
2026-04-02T16:23:23.430,0.063,-0.985,-0.13,2.609,2.333,2.858,0.996,4.519,10,0.0,IDLE_FALL
2026-04-02T16:23:23.430,0.071,-0.99,-0.127,2.399,1.353,3.138,1.001,4.175,11,0.0,IDLE_FALL
2026-04-02T16:23:23.446,0.078,-0.99,-0.133,2.259,-1.027,3.488,1.002,4.281,11,0.0,IDLE_FALL
2026-04-02T16:23:23.462,0.063,-0.975,-0.158,2.259,-3.197,3.838,0.99,5.483,11,0.0,IDLE_FALL
2026-04-02T16:23:23.479,0.04,-0.961,-0.166,4.569,-3.057,3.558,0.976,6.549,10,0.0,IDLE_FALL
2026-04-02T16:23:23.479,0.026,-0.96,-0.163,4.359,-4.037,2.718,0.974,6.534,11,0.0,IDLE_FALL
2026-04-02T16:23:23.495,-0.025,-0.999,-0.195,4.429,-4.807,-0.922,1.018,6.601,11,0.0,IDLE_FALL
2026-04-02T16:23:23.495,-0.023,-1.001,-0.217,9.609,-3.337,-3.092,1.025,10.631,11,0.0,IDLE_FALL
2026-04-02T16:23:23.510,-0.053,-1.004,-0.191,14.719,-1.167,-1.902,1.023,14.887,10,0.0,IDLE_FALL
2026-04-02T16:23:23.527,-0.092,-1.014,-0.077,18.359,-1.937,1.318,1.021,18.508,11,0.0,IDLE_FALL
2026-04-02T16:23:23.527,-0.152,-1.012,0.034,15.979,-6.067,3.278,1.024,17.404,11,0.0,IDLE_FALL
2026-04-02T16:23:23.554,-0.21,-0.988,0.047,10.659,-3.967,5.378,1.011,12.581,11,0.0,IDLE_FALL
2026-04-02T16:23:23.563,-0.22,-0.969,0.017,8.419,-1.097,8.598,0.994,12.084,10,0.0,IDLE_FALL
2026-04-02T16:23:23.571,-0.286,-0.955,0.02,9.119,2.823,8.738,0.997,12.942,11,0.0,IDLE_FALL
2026-04-02T16:23:23.584,-0.337,-0.932,-0.008,11.079,7.163,7.898,0.991,15.376,11,0.0,IDLE_FALL
2026-04-02T16:23:23.584,-0.338,-0.916,-0.024,12.899,7.723,7.128,0.977,16.638,11,0.0,IDLE_FALL
2026-04-02T16:23:23.600,-0.319,-0.889,-0.024,15.769,7.093,5.658,0.945,18.193,10,0.0,IDLE_FALL
2026-04-02T16:23:23.615,-0.295,-0.866,-0.031,19.759,7.793,4.958,0.916,21.811,11,0.0,IDLE_FALL
2026-04-02T16:23:23.615,-0.239,-0.851,-0.026,24.309,8.003,5.098,0.885,26.095,11,0.0,IDLE_FALL
2026-04-02T16:23:23.631,-0.181,-0.847,-0.024,26.899,7.653,5.448,0.866,28.492,11,0.0,IDLE_FALL
2026-04-02T16:23:23.647,-0.14,-0.851,-0.034,29.279,8.143,4.538,0.864,30.727,10,0.0,IDLE_FALL
2026-04-02T16:23:23.647,-0.105,-0.866,-0.055,31.589,9.753,2.928,0.874,33.19,11,0.0,IDLE_FALL
2026-04-02T16:23:23.671,-0.094,-0.893,-0.059,32.919,10.873,-0.152,0.9,34.668,11,0.0,IDLE_FALL
2026-04-02T16:23:23.681,-0.098,-0.915,-0.042,34.879,10.103,-3.792,0.921,36.51,10,0.0,IDLE_FALL
2026-04-02T16:23:23.689,-0.125,-0.932,-0.021,36.349,6.953,-8.132,0.941,37.891,11,0.0,IDLE_FALL
2026-04-02T16:23:23.692,-0.156,-0.94,-0.006,36.139,3.803,-9.742,0.953,37.622,11,0.0,IDLE_FALL
2026-04-02T16:23:23.709,-0.2,-0.936,0.001,34.739,1.353,-9.042,0.957,35.922,11,0.0,IDLE_FALL
2026-04-02T16:23:23.724,-0.228,-0.931,0.005,33.199,0.793,-6.732,0.958,33.884,10,0.0,IDLE_FALL
2026-04-02T16:23:23.731,-0.239,-0.93,0.021,31.729,1.633,-4.772,0.96,32.127,11,0.0,IDLE_FALL
2026-04-02T16:23:23.738,-0.232,-0.924,0.036,31.029,2.753,-2.322,0.953,31.237,11,0.0,IDLE_FALL
2026-04-02T16:23:23.755,-0.226,-0.917,0.047,30.049,1.353,0.058,0.946,30.079,11,0.0,IDLE_FALL
2026-04-02T16:23:23.764,-0.226,-0.911,-0.002,28.649,-1.937,1.458,0.939,28.751,10,0.0,IDLE_FALL
2026-04-02T16:23:23.777,-0.229,-0.919,-0.031,28.089,-3.687,3.138,0.947,28.503,11,0.0,IDLE_FALL
2026-04-02T16:23:23.788,-0.199,-0.919,-0.018,29.909,-4.107,2.928,0.94,30.331,11,0.0,IDLE_FALL
2026-04-02T16:23:23.788,-0.125,-0.929,0.002,35.159,-5.647,1.738,0.938,35.652,11,0.0,IDLE_FALL
2026-04-02T16:23:23.808,-0.065,-0.947,0.011,40.409,-6.487,-0.992,0.95,40.938,10,0.0,IDLE_FALL
2026-04-02T16:23:23.820,-0.028,-0.936,0.034,45.029,-9.147,-2.602,0.937,46.022,11,0.0,IDLE_FALL
2026-04-02T16:23:23.821,-0.045,-0.91,0.005,47.829,-11.877,-3.582,0.911,49.412,11,0.0,IDLE_FALL
2026-04-02T16:23:23.842,-0.061,-0.875,-0.019,49.439,-14.677,-3.792,0.877,51.711,11,0.0,IDLE_FALL
2026-04-02T16:23:23.853,-0.062,-0.852,-0.002,52.449,-16.777,-3.722,0.854,55.193,10,0.0,IDLE_FALL
2026-04-02T16:23:23.857,-0.048,-0.84,0.036,55.039,-15.237,-4.072,0.842,57.254,11,0.0,IDLE_FALL
2026-04-02T16:23:23.871,-0.023,-0.823,0.093,56.089,-15.727,-4.702,0.828,58.442,11,0.0,IDLE_FALL
2026-04-02T16:23:23.871,-0.009,-0.804,0.091,57.629,-17.827,-5.402,0.809,60.565,11,0.0,IDLE_FALL
2026-04-02T16:23:23.889,-0.024,-0.764,0.063,60.149,-19.367,-7.432,0.767,63.626,10,0.0,IDLE_FALL
2026-04-02T16:23:23.889,-0.009,-0.758,0.057,62.179,-20.137,-7.082,0.76,65.741,4,0.0,CHECK_FALL
2026-04-02T16:23:23.904,-0.002,-0.741,0.046,64.279,-21.047,-7.012,0.742,67.999,5,0.0,CHECK_FALL
2026-04-02T16:23:23.904,-0.015,-0.724,0.038,70.999,-23.007,-6.382,0.725,74.906,11,0.0,CHECK_FALL
2026-04-02T16:23:23.921,-0.016,-0.712,0.056,73.659,-25.737,-5.332,0.714,78.208,11,0.0,CHECK_FALL
2026-04-02T16:23:23.938,-0.022,-0.701,0.081,75.759,-26.927,-4.632,0.706,80.535,10,0.0,CHECK_FALL
2026-04-02T16:23:23.939,-0.025,-0.699,0.098,77.019,-28.747,-4.632,0.706,82.339,11,0.0,CHECK_FALL
2026-04-02T16:23:23.954,-0.024,-0.696,0.112,79.679,-31.267,-4.982,0.705,85.739,11,0.0,CHECK_FALL
2026-04-02T16:23:23.970,-0.034,-0.705,0.149,85.489,-35.117,-6.662,0.721,92.66,11,0.0,CHECK_FALL
2026-04-02T16:23:23.980,0.005,-0.743,0.151,88.569,-40.927,-7.082,0.758,97.825,10,0.0,CHECK_FALL
2026-04-02T16:23:23.987,-0.014,-0.76,0.166,90.669,-42.957,-6.872,0.778,100.565,11,0.0,CHECK_FALL
2026-04-02T16:23:23.987,-0.031,-0.771,0.193,91.159,-41.347,-5.262,0.796,100.236,11,0.0,CHECK_FALL
2026-04-02T16:23:24.005,-0.023,-0.778,0.221,91.229,-39.597,-2.742,0.809,99.49,11,0.0,CHECK_FALL
2026-04-02T16:23:24.022,-0.04,-0.786,0.255,87.239,-40.927,-0.572,0.828,96.364,10,0.0,CHECK_FALL
2026-04-02T16:23:24.022,-0.095,-0.806,0.251,81.779,-47.857,-0.852,0.849,94.757,11,0.0,CHECK_FALL
2026-04-02T16:23:24.038,-0.095,-0.823,0.38,74.989,-73.337,-12.332,0.911,105.611,11,0.0,CHECK_FALL
2026-04-02T16:23:24.057,-0.237,-0.888,0.183,71.699,-66.407,-11.282,0.937,98.376,11,0.0,CHECK_FALL
2026-04-02T16:23:24.057,-0.221,-0.871,0.124,82.689,-61.647,-7.992,0.907,103.449,10,0.0,CHECK_FALL
2026-04-02T16:23:24.071,-0.172,-0.884,0.196,92.139,-59.477,-8.412,0.922,109.99,11,0.0,CHECK_FALL
2026-04-02T16:23:24.087,-0.128,-0.878,0.285,91.719,-55.697,-9.042,0.932,107.686,11,0.0,CHECK_FALL
2026-04-02T16:23:24.089,-0.081,-0.847,0.303,85.909,-51.777,-5.752,0.904,100.47,10,0.0,CHECK_FALL
2026-04-02T16:23:24.106,-0.118,-0.812,0.283,75.759,-51.777,-4.562,0.868,91.875,11,0.0,CHECK_FALL
2026-04-02T16:23:24.120,-0.135,-0.799,0.268,65.679,-53.457,-2.462,0.853,84.72,11,0.0,CHECK_FALL
2026-04-02T16:23:24.121,-0.268,-0.767,0.179,64.909,-51.007,-8.272,0.832,82.966,11,0.0,CHECK_FALL
2026-04-02T16:23:24.138,-0.255,-0.742,0.185,66.519,-45.057,-10.582,0.806,81.036,10,0.0,CHECK_FALL
2026-04-02T16:23:24.138,-0.183,-0.756,0.204,65.609,-35.677,-8.132,0.804,75.123,11,0.0,CHECK_FALL
2026-04-02T16:23:24.155,-0.22,-0.708,0.222,69.809,-29.447,-11.422,0.774,76.622,11,0.0,CHECK_FALL
2026-04-02T16:23:24.174,-0.193,-0.686,0.231,76.249,-24.337,-15.132,0.749,81.456,11,0.0,CHECK_FALL
2026-04-02T16:23:24.187,-0.158,-0.634,0.252,81.289,-19.997,-22.972,0.7,86.807,10,0.0,CHECK_FALL
2026-04-02T16:23:24.197,-0.154,-0.599,0.285,81.569,-18.737,-26.822,0.681,87.886,11,0.0,CHECK_FALL
2026-04-02T16:23:24.206,-0.202,-0.57,0.29,74.919,-18.387,-34.522,0.671,84.514,11,0.0,CHECK_FALL
2026-04-02T16:23:24.218,-0.25,-0.558,0.257,77.159,-18.177,-44.882,0.663,91.095,11,0.0,CHECK_FALL
2026-04-02T16:23:24.226,-0.236,-0.594,0.162,98.649,-11.107,-51.322,0.659,111.754,10,0.0,CHECK_FALL
2026-04-02T16:23:24.237,-0.338,-0.605,0.386,102.499,-41.487,-63.502,0.793,127.513,11,0.0,CHECK_FALL
2026-04-02T16:23:24.237,-0.379,-0.559,0.388,100.959,-48.207,-53.352,0.779,123.948,11,0.0,CHECK_FALL
2026-04-02T16:23:24.255,-0.4,-0.513,0.452,93.819,-58.287,-57.062,0.792,124.32,11,0.0,CHECK_FALL
2026-04-02T16:23:24.255,-0.293,-0.503,0.533,88.919,-56.747,-72.042,0.789,127.737,10,0.0,CHECK_FALL
2026-04-02T16:23:24.280,-0.167,-0.625,0.427,83.809,-59.267,-84.012,0.775,132.644,11,0.0,CHECK_FALL
2026-04-02T16:23:24.286,-0.115,-0.738,0.519,91.579,-48.417,-101.302,0.91,144.889,11,0.0,CHECK_FALL
2026-04-02T16:23:24.302,-0.311,-0.658,0.32,106.069,-57.237,-119.292,0.795,169.579,11,0.0,CHECK_FALL
2026-04-02T16:23:24.304,-0.227,-0.672,0.417,140.509,-33.717,-128.532,0.823,193.391,10,0.0,CHECK_FALL
2026-04-02T16:23:24.321,-0.117,-0.772,0.462,174.459,12.693,-130.912,0.907,218.483,11,0.0,CHECK_FALL
2026-04-02T16:23:24.321,-0.106,-0.871,0.619,193.919,14.583,-122.162,1.074,229.653,11,0.0,CHECK_FALL
2026-04-02T16:23:24.338,-0.193,-0.896,0.766,180.129,9.613,-116.002,1.194,214.465,11,0.0,CHECK_FALL
2026-04-02T16:23:24.354,-0.367,-0.881,0.983,142.049,-4.807,-111.732,1.37,180.79,10,0.0,CHECK_FALL
2026-04-02T16:23:24.354,-0.409,-0.772,0.906,79.679,-25.387,-117.192,1.259,143.969,11,0.0,CHECK_FALL
2026-04-02T16:23:24.372,-0.193,-0.814,0.753,52.169,-50.867,-103.262,1.126,126.38,11,0.0,CHECK_FALL
2026-04-02T16:23:24.388,-0.223,-0.758,0.754,44.399,-56.047,-112.642,1.092,133.419,11,0.0,CHECK_FALL
2026-04-02T16:23:24.388,-0.218,-0.963,1.022,51.259,-60.597,-122.092,1.421,145.622,10,0.0,CHECK_FALL
2026-04-02T16:23:24.405,-0.429,-0.694,1.784,68.199,54.693,-169.692,1.962,190.886,11,0.0,CHECK_FALL
2026-04-02T16:23:24.421,-0.052,-0.458,2.803,20.879,173.063,-260.552,2.841,313.486,11,0.0,CHECK_FALL
2026-04-02T16:23:24.421,-1.122,0.102,2.649,6.809,213.733,-473.142,2.879,519.221,10,0.0,CHECK_FALL
