timestamp,AX,AY,AZ,GX,GY,GZ,ASVM,GSVM,MCU_TIME,FALL_EVENT,FALL_STATE
2026-04-02T16:10:03.373,0.116,-0.992,0.151,4.149,-16.847,-3.862,1.01,17.775,11,0.0,IDLE_FALL
2026-04-02T16:10:03.373,0.112,-0.997,0.14,4.499,-15.867,-3.722,1.013,16.907,11,0.0,IDLE_FALL
2026-04-02T16:10:03.373,0.114,-1.002,0.138,5.759,-15.027,-3.512,1.018,16.472,10,0.0,IDLE_FALL
2026-04-02T16:10:03.373,0.119,-1.004,0.144,6.599,-15.937,-3.582,1.021,17.617,11,0.0,IDLE_FALL
2026-04-02T16:10:03.373,0.12,-0.997,0.161,6.949,-17.267,-3.092,1.017,18.868,11,0.0,IDLE_FALL
2026-04-02T16:10:03.373,0.145,-0.975,0.157,10.029,-18.177,-5.052,0.998,21.366,105,0.0,IDLE_FALL
2026-04-02T16:10:03.392,0.142,-0.977,0.17,10.449,-17.477,-5.612,1.002,21.122,11,0.0,IDLE_FALL
2026-04-02T16:10:03.397,0.136,-0.977,0.177,8.979,-15.237,-5.962,1.002,18.664,11,0.0,IDLE_FALL
2026-04-02T16:10:03.410,0.13,-0.984,0.167,7.509,-13.207,-6.522,1.006,16.533,10,0.0,IDLE_FALL
2026-04-02T16:10:03.423,0.125,-0.995,0.153,7.019,-12.297,-6.942,1.014,15.769,11,0.0,IDLE_FALL
2026-04-02T16:10:03.430,0.121,-1.011,0.145,8.489,-12.227,-7.152,1.029,16.514,11,0.0,IDLE_FALL
2026-04-02T16:10:03.442,0.125,-1.021,0.155,9.959,-12.157,-7.012,1.04,17.209,11,0.0,IDLE_FALL
2026-04-02T16:10:03.457,0.14,-1.016,0.161,11.359,-13.417,-6.312,1.038,18.678,10,0.0,IDLE_FALL
2026-04-02T16:10:03.467,0.156,-1.001,0.189,11.499,-14.747,-4.982,1.031,19.353,11,0.0,IDLE_FALL
2026-04-02T16:10:03.475,0.163,-0.991,0.194,9.749,-16.007,-4.072,1.023,19.179,11,0.0,IDLE_FALL
2026-04-02T16:10:03.489,0.178,-0.989,0.18,7.439,-17.687,-3.372,1.021,19.482,11,0.0,IDLE_FALL
2026-04-02T16:10:03.497,0.189,-0.992,0.143,7.369,-19.507,-2.462,1.02,20.997,10,0.0,IDLE_FALL
2026-04-02T16:10:03.497,0.195,-0.99,0.133,7.159,-20.557,-1.692,1.018,21.834,11,0.0,IDLE_FALL
2026-04-02T16:10:03.514,0.203,-0.99,0.147,7.299,-21.467,-1.622,1.022,22.732,11,0.0,IDLE_FALL
2026-04-02T16:10:03.530,0.194,-0.98,0.159,6.879,-22.657,-2.462,1.011,23.806,11,0.0,IDLE_FALL
2026-04-02T16:10:03.530,0.192,-0.973,0.183,7.019,-23.987,-3.302,1.008,25.21,10,0.0,IDLE_FALL
2026-04-02T16:10:03.551,0.176,-0.965,0.188,7.089,-25.457,-4.072,0.998,26.738,11,0.0,IDLE_FALL
2026-04-02T16:10:03.551,0.159,-0.963,0.187,7.929,-25.317,-4.562,0.994,26.919,11,0.0,IDLE_FALL
2026-04-02T16:10:03.569,0.136,-0.97,0.171,8.629,-25.947,-4.352,0.995,27.689,11,0.0,IDLE_FALL
2026-04-02T16:10:03.585,0.122,-0.978,0.151,9.819,-26.857,-3.372,0.997,28.794,10,0.0,IDLE_FALL
2026-04-02T16:10:03.585,0.119,-0.986,0.141,11.709,-26.857,-2.532,1.003,29.408,11,0.0,IDLE_FALL
2026-04-02T16:10:03.607,0.117,-0.998,0.144,14.509,-27.627,-1.552,1.015,31.244,11,0.0,IDLE_FALL
2026-04-02T16:10:03.618,0.125,-0.996,0.168,16.049,-28.257,-0.992,1.018,32.512,11,0.0,IDLE_FALL
2026-04-02T16:10:03.619,0.129,-0.992,0.177,14.299,-27.837,-1.132,1.016,31.315,10,0.0,IDLE_FALL
2026-04-02T16:10:03.634,0.148,-0.997,0.158,9.399,-27.767,-1.692,1.02,29.364,11,0.0,IDLE_FALL
2026-04-02T16:10:03.650,0.178,-1.0,0.136,7.579,-29.027,-1.552,1.024,30.04,11,0.0,IDLE_FALL
2026-04-02T16:10:03.650,0.181,-0.974,0.173,18.779,-29.027,-1.482,1.005,34.604,10,0.0,IDLE_FALL
2026-04-02T16:10:03.668,0.143,-0.964,0.222,20.599,-26.157,-3.022,0.999,33.431,11,0.0,IDLE_FALL
2026-04-02T16:10:03.683,0.114,-0.967,0.152,12.619,-23.847,-5.052,0.986,27.449,11,0.0,IDLE_FALL
2026-04-02T16:10:03.683,0.118,-0.988,0.116,10.099,-22.727,-5.612,1.002,25.495,11,0.0,IDLE_FALL
2026-04-02T16:10:03.698,0.134,-1.0,0.158,10.239,-22.657,-4.632,1.021,25.291,10,0.0,IDLE_FALL
2026-04-02T16:10:03.714,0.146,-1.031,0.224,12.619,-20.417,-2.462,1.065,24.128,11,0.0,IDLE_FALL
2026-04-02T16:10:03.714,0.13,-1.007,0.282,9.959,-18.667,-1.552,1.054,21.214,11,0.0,IDLE_FALL
2026-04-02T16:10:03.732,0.131,-0.981,0.293,4.779,-18.107,-1.622,1.032,18.797,11,0.0,IDLE_FALL
2026-04-02T16:10:03.741,0.144,-0.974,0.249,4.359,-19.437,-1.062,1.016,19.948,10,0.0,IDLE_FALL
2026-04-02T16:10:03.757,0.145,-0.964,0.233,5.409,-20.767,-0.292,1.002,21.462,11,0.0,IDLE_FALL
2026-04-02T16:10:03.757,0.156,-0.966,0.213,6.529,-20.977,0.548,1.002,21.977,11,0.0,IDLE_FALL
2026-04-02T16:10:03.775,0.153,-0.97,0.215,4.849,-18.527,0.688,1.005,19.164,11,0.0,IDLE_FALL
2026-04-02T16:10:03.775,0.147,-0.986,0.172,2.819,-18.177,0.548,1.012,18.403,10,0.0,IDLE_FALL
2026-04-02T16:10:03.792,0.151,-1.002,0.172,2.469,-15.937,0.548,1.027,16.137,11,0.0,IDLE_FALL
2026-04-02T16:10:03.808,0.145,-1.015,0.164,1.209,-15.237,0.338,1.039,15.289,11,0.0,IDLE_FALL
2026-04-02T16:10:03.808,0.146,-1.005,0.206,4.709,-13.557,-0.012,1.036,14.352,11,0.0,IDLE_FALL
2026-04-02T16:10:03.824,0.121,-0.969,0.196,7.999,-12.717,-2.322,0.996,15.202,10,0.0,IDLE_FALL
2026-04-02T16:10:03.840,0.153,-0.965,0.228,9.819,-13.417,-1.972,1.003,16.743,11,0.0,IDLE_FALL
2026-04-02T16:10:03.840,0.161,-0.976,0.201,9.749,-16.357,-1.272,1.009,19.084,11,0.0,IDLE_FALL
2026-04-02T16:10:03.858,0.164,-0.983,0.235,6.669,-16.777,-0.432,1.024,18.059,11,0.0,IDLE_FALL
2026-04-02T16:10:03.868,0.179,-0.995,0.23,3.309,-17.197,0.898,1.037,17.536,10,0.0,IDLE_FALL
2026-04-02T16:10:03.885,0.179,-1.002,0.239,0.229,-17.547,1.808,1.046,17.642,11,0.0,IDLE_FALL
2026-04-02T16:10:03.885,0.17,-1.001,0.234,-1.941,-17.827,2.298,1.042,18.079,11,0.0,IDLE_FALL
2026-04-02T16:10:03.904,0.156,-0.997,0.226,-2.571,-17.407,2.438,1.034,17.764,11,0.0,IDLE_FALL
2026-04-02T16:10:03.904,0.14,-0.986,0.226,-4.111,-16.567,1.738,1.021,17.158,10,0.0,IDLE_FALL
2026-04-02T16:10:03.923,0.137,-0.987,0.208,-4.321,2.193,1.388,1.018,5.041,11,0.0,IDLE_FALL
2026-04-02T16:10:03.939,0.135,-0.989,0.197,-4.811,-14.467,1.248,1.018,15.297,11,0.0,IDLE_FALL
2026-04-02T16:10:03.945,0.137,-0.991,0.19,-5.651,-14.677,1.038,1.019,15.762,11,0.0,IDLE_FALL
2026-04-02T16:10:03.958,0.144,-0.987,0.18,-5.861,-15.657,0.968,1.014,16.746,10,0.0,IDLE_FALL
2026-04-02T16:10:03.958,0.143,-0.99,0.167,-4.391,-16.497,0.478,1.014,17.078,11,0.0,IDLE_FALL
2026-04-02T16:10:03.975,0.144,-0.993,0.173,-2.921,-16.847,0.338,1.018,17.102,11,0.0,IDLE_FALL
2026-04-02T16:10:03.991,0.147,-0.988,0.181,-1.731,-16.497,0.338,1.015,16.591,11,0.0,IDLE_FALL
2026-04-02T16:10:03.991,0.152,-0.992,0.187,-2.221,-15.657,0.408,1.021,15.819,10,0.0,IDLE_FALL
2026-04-02T16:10:04.007,0.149,-0.985,0.197,-2.921,-15.167,0.338,1.015,15.45,11,0.0,IDLE_FALL
2026-04-02T16:10:04.025,0.152,-0.979,0.205,-3.341,-14.677,0.128,1.011,15.053,11,0.0,IDLE_FALL
2026-04-02T16:10:04.025,0.15,-0.977,0.208,-4.181,-14.117,0.058,1.01,14.724,10,0.0,IDLE_FALL
2026-04-02T16:10:04.041,0.153,-0.983,0.213,-5.581,-13.837,-0.012,1.017,14.92,11,0.0,IDLE_FALL
2026-04-02T16:10:04.059,0.151,-0.988,0.211,-7.541,-13.487,-0.222,1.022,15.454,11,0.0,IDLE_FALL
2026-04-02T16:10:04.068,0.148,-0.99,0.203,-8.591,-13.837,-0.222,1.022,16.289,11,0.0,IDLE_FALL
2026-04-02T16:10:04.068,0.148,-0.994,0.194,-8.311,-14.047,-0.222,1.023,16.323,10,0.0,IDLE_FALL
2026-04-02T16:10:04.084,0.147,-0.989,0.192,-6.911,-14.747,0.058,1.019,16.286,11,0.0,IDLE_FALL
2026-04-02T16:10:04.099,0.145,-0.987,0.198,-6.211,-14.887,-0.012,1.017,16.131,11,0.0,IDLE_FALL
2026-04-02T16:10:04.099,0.143,-0.986,0.199,-6.771,-15.097,-0.222,1.016,16.548,11,0.0,IDLE_FALL
2026-04-02T16:10:04.119,0.144,-0.984,0.191,-7.541,-14.747,-0.502,1.013,16.571,10,0.0,IDLE_FALL
2026-04-02T16:10:04.128,0.142,-0.98,0.182,-8.521,-14.467,-0.642,1.007,16.802,11,0.0,IDLE_FALL
2026-04-02T16:10:04.144,0.146,-0.978,0.172,-8.941,-14.817,-0.642,1.003,17.318,11,0.0,IDLE_FALL
2026-04-02T16:10:04.144,0.148,-0.981,0.164,-8.101,-15.027,-0.852,1.006,17.093,11,0.0,IDLE_FALL
2026-04-02T16:10:04.158,0.146,-0.983,0.171,-5.861,-14.887,-1.062,1.008,16.035,10,0.0,IDLE_FALL
2026-04-02T16:10:04.175,0.15,-0.985,0.183,-4.461,-14.537,-1.412,1.013,15.272,11,0.0,IDLE_FALL
2026-04-02T16:10:04.175,0.158,-0.98,0.196,-5.021,-14.467,-1.622,1.012,15.399,11,0.0,IDLE_FALL
2026-04-02T16:10:04.192,0.162,-0.982,0.189,-7.121,-14.607,-1.692,1.013,16.338,11,0.0,IDLE_FALL
2026-04-02T16:10:04.208,0.154,-0.988,0.166,-9.291,-14.677,-1.692,1.014,17.453,10,0.0,IDLE_FALL
2026-04-02T16:10:04.208,0.153,-1.007,0.148,-13.561,-14.467,-1.272,1.029,19.87,11,0.0,IDLE_FALL
2026-04-02T16:10:04.225,0.15,-1.007,0.006,-15.031,-13.557,-0.712,1.018,20.254,11,0.0,IDLE_FALL
2026-04-02T16:10:04.225,0.142,-0.987,0.15,-5.021,-13.837,0.058,1.008,14.72,11,0.0,IDLE_FALL
2026-04-02T16:10:04.244,0.116,-0.984,0.199,-2.571,-13.067,-1.272,1.011,13.378,10,0.0,IDLE_FALL
2026-04-02T16:10:04.261,0.109,-0.998,0.151,-11.601,-11.597,-2.532,1.015,16.598,11,0.0,IDLE_FALL
2026-04-02T16:10:04.274,0.126,-0.993,0.111,-12.861,-12.647,-2.532,1.008,18.215,11,0.0,IDLE_FALL
2026-04-02T16:10:04.282,0.155,-0.975,0.154,-9.221,-13.767,-3.022,0.999,16.843,11,0.0,IDLE_FALL
