timestamp,AX,AY,AZ,GX,GY,GZ,ASVM,GSVM,MCU_TIME,FALL_EVENT,FALL_STATE
2026-04-02T16:28:47.881,0.06,-0.986,-0.092,-7.471,4.363,1.878,0.992,8.853,11,0.0,IDLE_FALL
2026-04-02T16:28:47.884,0.06,-0.986,-0.104,-6.981,4.293,1.458,0.993,8.324,11,0.0,IDLE_FALL
2026-04-02T16:28:47.886,0.05,-0.979,-0.097,-7.401,3.593,1.318,0.985,8.332,10,0.0,IDLE_FALL
2026-04-02T16:28:47.886,0.028,-0.986,-0.089,-6.911,1.983,1.178,0.99,7.286,11,0.0,IDLE_FALL
2026-04-02T16:28:47.890,0.017,-1.003,-0.071,-6.421,-1.447,0.128,1.005,6.583,11,0.0,IDLE_FALL
2026-04-02T16:28:47.890,0.02,-1.01,-0.083,-6.701,1.283,-6.522,1.014,9.438,193,0.0,IDLE_FALL
2026-04-02T16:28:47.895,0.013,-1.018,-0.069,-6.631,0.723,-5.822,1.021,8.853,11,0.0,IDLE_FALL
2026-04-02T16:28:47.904,0.024,-1.016,-0.095,-5.021,1.563,-3.372,1.021,6.247,11,0.0,IDLE_FALL
2026-04-02T16:28:47.919,0.041,-1.005,-0.074,-8.031,4.013,-2.182,1.009,9.239,10,0.0,IDLE_FALL
2026-04-02T16:28:47.929,0.036,-0.993,-0.07,-13.631,5.553,-1.622,0.996,14.808,11,0.0,IDLE_FALL
2026-04-02T16:28:47.936,0.04,-0.968,-0.095,-13.351,4.363,-1.062,0.973,14.086,11,0.0,IDLE_FALL
2026-04-02T16:28:47.952,0.011,-0.966,-0.122,-10.481,1.773,-1.132,0.973,10.69,11,0.0,IDLE_FALL
2026-04-02T16:28:47.960,0.01,-0.953,-0.136,-7.261,1.703,-1.132,0.963,7.543,10,0.0,IDLE_FALL
2026-04-02T16:28:47.968,0.031,-0.95,-0.122,-5.651,1.843,-2.252,0.958,6.356,11,0.0,IDLE_FALL
2026-04-02T16:28:47.988,0.052,-0.955,-0.103,-6.211,0.653,-3.232,0.962,7.032,11,0.0,IDLE_FALL
2026-04-02T16:28:47.997,0.051,-0.973,-0.113,-7.751,-1.377,-4.702,0.981,9.17,11,0.0,IDLE_FALL
2026-04-02T16:28:48.003,0.065,-0.979,-0.136,-8.941,-3.407,-4.142,0.99,10.426,10,0.0,IDLE_FALL
2026-04-02T16:28:48.019,0.035,-0.997,-0.146,-7.751,-3.617,-3.372,1.009,9.194,11,0.0,IDLE_FALL
2026-04-02T16:28:48.027,0.054,-0.996,-0.145,-3.411,-3.757,-2.042,1.008,5.47,11,0.0,IDLE_FALL
2026-04-02T16:28:48.040,0.053,-0.995,-0.11,0.369,-3.967,-1.412,1.003,4.227,11,0.0,IDLE_FALL
2026-04-02T16:28:48.052,0.05,-0.992,-0.106,-0.961,-3.757,-0.502,0.999,3.911,10,0.0,IDLE_FALL
2026-04-02T16:28:48.062,0.037,-0.988,-0.106,-3.901,-3.197,-0.362,0.994,5.057,11,0.0,IDLE_FALL
2026-04-02T16:28:48.073,0.017,-0.987,-0.106,-7.681,-4.177,-0.922,0.992,8.792,11,0.0,IDLE_FALL
2026-04-02T16:28:48.082,0.014,-0.99,-0.109,-9.851,-7.397,-1.832,0.997,12.455,11,0.0,IDLE_FALL
2026-04-02T16:28:48.093,0.023,-0.993,-0.117,-9.081,-8.937,-3.442,1.0,13.198,10,0.0,IDLE_FALL
2026-04-02T16:28:48.102,0.041,-0.987,-0.119,-5.651,-8.797,-4.352,0.995,11.325,11,0.0,IDLE_FALL
2026-04-02T16:28:48.115,0.052,-0.979,-0.107,-5.441,-9.777,-4.282,0.986,11.98,11,0.0,IDLE_FALL
2026-04-02T16:28:48.126,0.057,-0.976,-0.1,-6.141,-10.197,-3.652,0.983,12.451,11,0.0,IDLE_FALL
2026-04-02T16:28:48.137,0.069,-0.97,-0.11,-5.441,-9.357,-2.042,0.979,11.015,10,0.0,IDLE_FALL
2026-04-02T16:28:48.148,0.062,-0.967,-0.143,-4.321,-7.747,-1.132,0.979,8.943,11,0.0,IDLE_FALL
2026-04-02T16:28:48.158,0.041,-0.965,-0.166,-2.641,-4.037,-1.342,0.98,5.007,11,0.0,IDLE_FALL
2026-04-02T16:28:48.169,0.025,-0.96,-0.167,-1.241,-2.637,-2.742,0.975,4.001,10,0.0,IDLE_FALL
2026-04-02T16:28:48.180,0.01,-0.967,-0.149,-0.191,-1.867,-4.352,0.979,4.739,11,0.0,IDLE_FALL
2026-04-02T16:28:48.192,0.007,-0.977,-0.138,-0.121,-1.587,-5.682,0.987,5.9,11,0.0,IDLE_FALL
2026-04-02T16:28:48.201,0.012,-0.981,-0.126,-1.241,-1.447,-5.472,0.989,5.794,11,0.0,IDLE_FALL
2026-04-02T16:28:48.212,0.011,-0.977,-0.12,-1.731,-0.957,-5.122,0.985,5.49,10,0.0,IDLE_FALL
2026-04-02T16:28:48.223,0.005,-0.975,-0.12,-1.521,-0.887,-4.492,0.983,4.824,11,0.0,IDLE_FALL
2026-04-02T16:28:48.233,0.006,-0.974,-0.125,-1.311,-0.467,-3.862,0.982,4.105,11,0.0,IDLE_FALL
2026-04-02T16:28:48.244,0.018,-0.971,-0.129,-1.171,0.373,-3.372,0.98,3.589,11,0.0,IDLE_FALL
2026-04-02T16:28:48.255,0.035,-0.967,-0.127,-1.241,0.373,-2.462,0.976,2.782,10,0.0,IDLE_FALL
2026-04-02T16:28:48.265,0.044,-0.97,-0.133,-1.661,-0.607,-1.412,0.981,2.263,11,0.0,IDLE_FALL
2026-04-02T16:28:48.273,0.052,-0.978,-0.132,-1.031,-1.797,-0.782,0.989,2.215,11,0.0,IDLE_FALL
2026-04-02T16:28:48.287,0.053,-0.985,-0.139,-0.681,-2.847,-1.272,0.996,3.192,11,0.0,IDLE_FALL
2026-04-02T16:28:48.299,0.049,-0.992,-0.137,-1.031,-3.337,-1.832,1.003,3.944,10,0.0,IDLE_FALL
2026-04-02T16:28:48.309,0.051,-1.001,-0.147,-0.121,-2.147,-3.302,1.013,3.94,11,0.0,IDLE_FALL
2026-04-02T16:28:48.319,0.043,-1.013,-0.138,1.489,-2.427,-4.912,1.023,5.677,11,0.0,IDLE_FALL
2026-04-02T16:28:48.330,0.026,-1.007,-0.141,2.609,-3.057,-6.522,1.017,7.661,11,0.0,IDLE_FALL
2026-04-02T16:28:48.340,0.02,-0.987,-0.132,2.609,-3.477,-5.682,0.996,7.154,10,0.0,IDLE_FALL
2026-04-02T16:28:48.352,0.019,-0.974,-0.12,0.649,-4.667,-4.422,0.982,6.462,11,0.0,IDLE_FALL
2026-04-02T16:28:48.362,0.02,-0.957,-0.135,-18.951,-5.997,-3.092,0.966,20.116,11,0.0,IDLE_FALL
2026-04-02T16:28:48.371,0.025,-0.95,-0.154,-0.611,-5.017,-2.252,0.963,5.533,11,0.0,IDLE_FALL
2026-04-02T16:28:48.384,0.037,-0.943,-0.182,2.329,-0.677,-1.622,0.961,2.918,10,0.0,IDLE_FALL
2026-04-02T16:28:48.395,0.063,-0.964,-0.157,1.699,-0.817,-3.302,0.978,3.802,11,0.0,IDLE_FALL
2026-04-02T16:28:48.395,0.062,-0.972,-0.099,-0.051,-3.827,-4.772,0.979,6.117,11,0.0,IDLE_FALL
2026-04-02T16:28:48.411,0.053,-0.971,-0.13,4.639,-5.997,-3.862,0.981,8.509,11,0.0,IDLE_FALL
2026-04-02T16:28:48.427,0.056,-0.988,-0.122,5.829,-5.927,-2.812,0.998,8.776,10,0.0,IDLE_FALL
2026-04-02T16:28:48.427,0.072,-0.992,-0.101,2.189,-4.527,-2.812,1.0,5.761,11,0.0,IDLE_FALL
2026-04-02T16:28:48.444,0.042,-0.987,-0.093,-0.051,-6.767,-3.372,0.992,7.561,11,0.0,IDLE_FALL
2026-04-02T16:28:48.460,0.008,-0.994,-0.121,0.579,-10.197,-4.702,1.001,11.244,11,0.0,IDLE_FALL
2026-04-02T16:28:48.460,-0.02,-0.987,-0.144,4.079,-12.647,-4.982,0.997,14.192,10,0.0,IDLE_FALL
2026-04-02T16:28:48.480,-0.013,-0.986,-0.137,3.729,-13.417,-4.772,0.996,14.721,11,0.0,IDLE_FALL
2026-04-02T16:28:48.490,0.007,-0.985,-0.126,1.699,-13.627,-3.652,0.993,14.21,11,0.0,IDLE_FALL
2026-04-02T16:28:48.501,0.022,-0.979,-0.138,1.209,-12.577,-1.482,0.989,12.722,10,0.0,IDLE_FALL
2026-04-02T16:28:48.509,0.023,-0.98,-0.149,0.789,-10.547,-0.432,0.991,10.586,11,0.0,IDLE_FALL
2026-04-02T16:28:48.519,0.024,-0.981,-0.14,-0.471,-7.187,-0.362,0.991,7.212,11,0.0,IDLE_FALL
2026-04-02T16:28:48.534,0.03,-0.979,-0.118,0.299,-5.647,-0.642,0.987,5.691,11,0.0,IDLE_FALL
2026-04-02T16:28:48.537,0.039,-0.984,-0.103,1.489,-5.857,-1.412,0.99,6.206,10,0.0,IDLE_FALL
2026-04-02T16:28:48.552,0.029,-0.992,-0.114,0.929,-6.347,-2.112,0.999,6.753,11,0.0,IDLE_FALL
2026-04-02T16:28:48.552,0.022,-0.991,-0.129,0.369,-6.487,-2.882,1.0,7.108,11,0.0,IDLE_FALL
2026-04-02T16:28:48.576,0.016,-0.985,-0.128,1.069,-6.767,-3.092,0.993,7.516,11,0.0,IDLE_FALL
2026-04-02T16:28:48.587,0.019,-0.977,-0.128,1.139,-7.187,-2.532,0.986,7.705,10,0.0,IDLE_FALL
2026-04-02T16:28:48.587,0.022,-0.975,-0.106,0.089,-7.327,-1.972,0.981,7.588,11,0.0,IDLE_FALL
2026-04-02T16:28:48.603,0.024,-0.971,-0.111,-0.681,-7.117,-1.622,0.978,7.331,11,0.0,IDLE_FALL
