timestamp,AX,AY,AZ,GX,GY,GZ,ASVM,GSVM,MCU_TIME,FALL_EVENT,FALL_STATE
2026-04-02T16:41:02.944,0.033,-0.849,-0.276,-8.661,6.603,-1.972,0.894,11.068,11,0.0,CHECK_FALL
2026-04-02T16:41:02.944,0.031,-0.854,-0.283,-6.911,4.363,-4.982,0.9,9.571,10,0.0,CHECK_FALL
2026-04-02T16:41:02.944,0.049,-0.887,-0.289,-5.651,1.703,-4.912,0.934,7.678,11,0.0,CHECK_FALL
2026-04-02T16:41:02.944,0.017,-0.907,-0.273,-6.141,-0.677,-8.552,0.947,10.55,11,0.0,CHECK_FALL
2026-04-02T16:41:02.944,0.017,-0.961,-0.273,-8.311,-1.587,-9.532,0.999,12.745,11,0.0,CHECK_FALL
2026-04-02T16:41:02.944,0.102,-0.944,-0.316,0.859,-12.647,-8.062,1.0,15.023,215,0.0,CHECK_FALL
2026-04-02T16:41:02.966,0.095,-0.955,-0.297,-3.831,-14.327,-9.672,1.004,17.706,10,0.0,CHECK_FALL
2026-04-02T16:41:02.972,0.092,-0.955,-0.358,-4.741,-14.887,-9.252,1.024,18.158,11,0.0,CHECK_FALL
2026-04-02T16:41:02.986,0.095,-0.931,-0.352,-0.261,-12.857,-7.782,1.0,15.031,11,0.0,CHECK_FALL
2026-04-02T16:41:03.000,0.102,-0.922,-0.294,-0.821,-12.087,-6.522,0.973,13.759,11,0.0,CHECK_FALL
2026-04-02T16:41:03.012,0.091,-0.922,-0.293,-5.511,-11.387,-6.242,0.972,14.107,10,0.0,CHECK_FALL
2026-04-02T16:41:03.022,0.085,-0.932,-0.283,-8.381,-11.667,-5.402,0.978,15.347,11,0.0,CHECK_FALL
2026-04-02T16:41:03.033,0.073,-0.936,-0.28,-11.951,-13.067,-4.702,0.98,18.322,11,0.0,CHECK_FALL
2026-04-02T16:41:03.043,0.066,-0.921,-0.299,-10.341,-14.467,-4.282,0.971,18.291,10,0.0,CHECK_FALL
2026-04-02T16:41:03.054,0.065,-0.9,-0.338,-4.601,-14.677,-4.002,0.964,15.894,11,0.0,CHECK_FALL
2026-04-02T16:41:03.065,0.063,-0.886,-0.339,0.859,-14.397,-4.212,0.951,15.025,11,0.0,CHECK_FALL
2026-04-02T16:41:03.070,0.059,-0.882,-0.32,-0.611,-13.767,-5.682,0.94,14.906,11,0.0,CHECK_FALL
2026-04-02T16:41:03.086,0.062,-0.891,-0.327,-4.251,-12.787,-7.222,0.951,15.288,10,0.0,CHECK_FALL
2026-04-02T16:41:03.086,0.074,-0.905,-0.342,-5.371,-11.387,-8.692,0.97,15.299,11,0.0,CHECK_FALL
2026-04-02T16:41:03.103,0.08,-0.914,-0.346,-4.251,-11.317,-9.812,0.981,15.57,11,0.0,CHECK_FALL
2026-04-02T16:41:03.113,0.084,-0.919,-0.339,-2.221,-13.347,-10.582,0.983,17.177,11,0.0,CHECK_FALL
2026-04-02T16:41:03.123,0.076,-0.925,-0.337,-0.191,-16.777,-11.072,0.987,20.102,10,0.0,CHECK_FALL
2026-04-02T16:41:03.140,0.073,-0.921,-0.341,2.539,-18.527,-11.282,0.985,21.84,11,0.0,CHECK_FALL
2026-04-02T16:41:03.140,0.08,-0.917,-0.342,3.449,-19.647,-11.212,0.982,22.882,11,0.0,CHECK_FALL
2026-04-02T16:41:03.155,0.086,-0.908,-0.345,2.959,-19.857,-10.652,0.975,22.727,11,0.0,CHECK_FALL
2026-04-02T16:41:03.171,0.086,-0.902,-0.346,1.349,-20.067,-9.952,0.97,22.44,10,0.0,CHECK_FALL
2026-04-02T16:41:03.171,0.088,-0.902,-0.346,0.299,-19.647,-9.602,0.97,21.87,11,0.0,CHECK_FALL
2026-04-02T16:41:03.188,0.087,-0.898,-0.346,0.229,-18.877,-9.112,0.966,20.962,11,0.0,CHECK_FALL
2026-04-02T16:41:03.203,0.083,-0.9,-0.355,1.279,-17.407,-8.762,0.971,19.53,11,0.0,CHECK_FALL
