timestamp,AX,AY,AZ,GX,GY,GZ,ASVM,GSVM,MCU_TIME,FALL_EVENT,FALL_STATE
2026-04-02T16:45:07.976,0.181,-0.986,-0.064,-1.311,-3.897,2.998,1.004,5.089,10,0.0,IDLE_FALL
2026-04-02T16:45:07.979,0.182,-0.986,-0.065,-1.031,-4.177,2.928,1.005,5.205,11,0.0,IDLE_FALL
2026-04-02T16:45:07.981,0.176,-0.987,-0.062,-1.171,-4.317,2.858,1.004,5.309,11,0.0,IDLE_FALL
2026-04-02T16:45:07.982,0.179,-0.988,-0.066,-1.311,-4.667,2.578,1.007,5.491,11,0.0,IDLE_FALL
2026-04-02T16:45:07.983,0.178,-0.983,-0.068,-1.451,-4.807,2.438,1.001,5.582,10,0.0,IDLE_FALL
2026-04-02T16:45:07.984,0.155,-0.988,-0.044,6.389,-10.477,2.718,1.001,12.569,154,0.0,IDLE_FALL
2026-04-02T16:45:07.994,0.147,-0.988,-0.042,5.899,-11.457,2.648,1.0,13.156,11,0.0,IDLE_FALL
2026-04-02T16:45:08.005,0.139,-0.991,-0.049,4.359,-11.037,2.718,1.002,12.174,10,0.0,IDLE_FALL
2026-04-02T16:45:08.016,0.132,-0.994,-0.048,2.539,-9.357,2.788,1.004,10.089,11,0.0,IDLE_FALL
2026-04-02T16:45:08.028,0.128,-0.99,-0.041,1.629,-7.467,3.068,0.999,8.236,11,0.0,IDLE_FALL
2026-04-02T16:45:08.029,0.126,-0.986,-0.037,0.999,-6.977,3.418,0.994,7.834,10,0.0,IDLE_FALL
2026-04-02T16:45:08.047,0.121,-0.982,-0.037,0.999,-6.767,3.698,0.99,7.776,11,0.0,IDLE_FALL
2026-04-02T16:45:08.059,0.12,-0.983,-0.045,1.279,-6.697,3.698,0.991,7.757,11,0.0,IDLE_FALL
2026-04-02T16:45:08.069,0.119,-0.985,-0.051,1.489,-6.347,3.348,0.993,7.329,11,0.0,IDLE_FALL
2026-04-02T16:45:08.080,0.125,-0.991,-0.055,1.209,-5.717,3.068,1.001,6.6,10,0.0,IDLE_FALL
2026-04-02T16:45:08.091,0.126,-0.994,-0.052,0.789,-5.367,2.998,1.004,6.198,11,0.0,IDLE_FALL
2026-04-02T16:45:08.099,0.141,-0.986,-0.027,0.159,-6.487,3.348,0.996,7.302,11,0.0,IDLE_FALL
2026-04-02T16:45:08.113,0.137,-0.988,-0.04,-0.821,-7.467,3.978,0.999,8.501,11,0.0,IDLE_FALL
2026-04-02T16:45:08.123,0.144,-0.99,-0.059,-0.191,-7.537,4.258,1.002,8.659,10,0.0,IDLE_FALL
2026-04-02T16:45:08.134,0.14,-0.987,-0.041,0.229,-7.187,4.468,0.998,8.466,11,0.0,IDLE_FALL
2026-04-02T16:45:08.145,0.141,-0.984,-0.032,0.229,-6.977,4.188,0.995,8.141,11,0.0,IDLE_FALL
2026-04-02T16:45:08.155,0.142,-0.983,-0.054,0.019,-5.927,4.118,0.994,7.218,11,0.0,IDLE_FALL
2026-04-02T16:45:08.166,0.139,-0.99,-0.07,0.789,-3.967,3.628,1.002,5.434,10,0.0,IDLE_FALL
2026-04-02T16:45:08.178,0.135,-0.992,-0.062,1.279,-2.707,3.278,1.003,4.44,11,0.0,IDLE_FALL
