timestamp,AX,AY,AZ,GX,GY,GZ,ASVM,GSVM,MCU_TIME,FALL_EVENT,FALL_STATE
2026-03-11T16:31:23.390,0.119,-0.446,0.665,-57.661,49.933,-19.332,0.809,78.688,13,0.0,IDLE_FALL
2026-03-11T16:31:23.399,0.141,-0.448,0.648,-59.201,51.193,-18.632,0.801,80.452,4,0.0,CHECK_FALL
2026-03-11T16:31:23.401,0.158,-0.454,0.627,-59.131,51.753,-18.212,0.79,80.663,5,0.0,CHECK_FALL
2026-03-11T16:31:23.411,0.216,-0.492,0.68,-56.471,46.643,-18.072,0.866,75.439,14,0.0,CHECK_FALL
2026-03-11T16:31:23.432,0.265,-0.469,0.856,-48.701,35.163,-26.192,1.011,65.53,14,0.0,CHECK_FALL
2026-03-11T16:31:23.443,0.22,-0.352,1.043,-51.361,19.903,-34.592,1.122,65.044,13,0.0,CHECK_FALL
2026-03-11T16:31:23.454,0.178,-0.189,1.264,-78.381,4.643,-35.222,1.291,86.056,14,0.0,CHECK_FALL
2026-03-11T16:31:23.465,0.097,-0.14,1.203,-98.541,-2.357,-30.252,1.215,103.107,14,0.0,CHECK_FALL
2026-03-11T16:31:23.486,-0.036,-0.135,1.055,-97.491,-6.627,-33.262,1.064,103.222,13,0.0,CHECK_FALL
2026-03-11T16:31:23.499,-0.031,-0.237,1.0,-65.921,-34.767,-28.642,1.029,79.842,14,0.0,CHECK_FALL
2026-03-11T16:31:23.507,-0.038,-0.335,0.994,3.729,-25.107,-24.442,1.05,35.237,14,0.0,CHECK_FALL
2026-03-11T16:31:23.520,-0.067,-0.394,1.239,24.519,-13.277,-25.352,1.302,37.685,13,0.0,CHECK_FALL
2026-03-11T16:31:23.539,-0.119,-0.451,1.349,17.799,3.313,-17.302,1.428,25.042,14,0.0,CHECK_FALL
2026-03-11T16:31:23.550,-0.162,-0.441,1.272,-4.531,13.813,-10.862,1.356,18.147,14,0.0,CHECK_FALL
2026-03-11T16:31:23.562,-0.118,-0.456,1.094,-20.001,21.303,-12.752,1.191,31.882,13,0.0,CHECK_FALL
2026-03-11T16:31:23.583,-0.043,-0.493,0.956,-25.881,32.363,-17.372,1.077,44.933,14,0.0,CHECK_FALL
2026-03-11T16:31:23.592,0.015,-0.531,0.887,-22.661,45.733,-23.462,1.034,56.173,14,0.0,CHECK_FALL
2026-03-11T16:31:23.605,0.078,-0.576,0.885,-16.361,50.983,-32.982,1.059,62.886,13,0.0,CHECK_FALL
2026-03-11T16:31:23.613,0.155,-0.616,0.887,-13.491,51.893,-43.132,1.09,68.813,14,0.0,CHECK_FALL
2026-03-11T16:31:23.634,0.215,-0.654,0.859,-3.761,47.553,-55.732,1.101,73.358,14,0.0,CHECK_FALL
2026-03-11T16:31:23.645,0.235,-0.697,0.889,-2.151,36.913,-64.412,1.154,74.27,13,0.0,CHECK_FALL
2026-03-11T16:31:23.655,0.239,-0.763,0.892,-14.961,26.063,-61.892,1.198,68.802,14,0.0,CHECK_FALL
2026-03-11T16:31:23.676,0.259,-0.785,0.841,-43.171,18.083,-54.682,1.179,71.978,14,0.0,CHECK_FALL
2026-03-11T16:31:23.687,0.257,-0.689,0.784,-57.661,11.013,-44.322,1.075,73.556,13,0.0,CHECK_FALL
2026-03-11T16:31:23.705,0.232,-0.643,0.705,-44.991,2.123,-34.662,0.982,56.834,14,0.0,CHECK_FALL
