timestamp,AX,AY,AZ,GX,GY,GZ,ASVM,GSVM,MCU_TIME,FALL_EVENT,FALL_STATE
2026-03-11T16:15:40.286,0.248,0.687,0.342,-13.421,5.973,-11.212,0.807,18.48,14,0.0,IDLE_FALL
2026-03-11T16:15:40.286,0.234,0.681,0.291,3.379,9.613,-8.832,0.777,13.484,4,0.0,CHECK_FALL
2026-03-11T16:15:40.286,0.204,0.68,0.255,20.249,14.793,-7.852,0.755,26.277,5,0.0,CHECK_FALL
2026-03-11T16:15:40.307,0.125,0.733,0.235,61.899,16.053,-2.602,0.78,63.999,13,0.0,CHECK_FALL
2026-03-11T16:15:40.318,0.065,0.823,0.306,81.079,5.343,-1.062,0.88,81.262,14,0.0,CHECK_FALL
2026-03-11T16:15:40.335,0.004,0.924,0.405,78.069,-6.417,-2.532,1.009,78.373,14,0.0,CHECK_FALL
2026-03-11T16:15:40.350,-0.048,0.979,0.446,60.919,-16.217,-5.752,1.077,63.302,13,0.0,CHECK_FALL
2026-03-11T16:15:40.360,-0.076,1.0,0.465,43.769,-17.827,-9.322,1.105,48.171,14,0.0,CHECK_FALL
2026-03-11T16:15:40.374,-0.093,1.007,0.474,34.599,-10.897,-10.792,1.117,37.846,14,0.0,CHECK_FALL
2026-03-11T16:15:40.388,-0.121,1.01,0.484,30.259,-3.197,-11.422,1.126,32.5,14,0.0,CHECK_FALL
2026-03-11T16:15:40.401,-0.137,1.022,0.501,28.789,-1.307,-11.982,1.146,31.21,13,0.0,CHECK_FALL
2026-03-11T16:15:40.414,-0.12,1.06,0.491,26.409,-6.977,-11.142,1.174,29.5,14,0.0,CHECK_FALL
2026-03-11T16:15:40.430,-0.091,1.112,0.487,25.289,-18.457,-9.952,1.218,32.852,14,0.0,CHECK_FALL
2026-03-11T16:15:40.442,-0.053,1.162,0.524,23.679,-29.657,-8.272,1.275,38.841,13,0.0,CHECK_FALL
2026-03-11T16:15:40.457,-0.027,1.204,0.569,17.939,-38.197,-6.522,1.332,42.701,14,0.0,CHECK_FALL
2026-03-11T16:15:40.470,-0.018,1.227,0.609,9.609,-40.297,-5.822,1.37,41.834,14,0.0,CHECK_FALL
2026-03-11T16:15:40.483,-0.004,1.208,0.647,-2.011,-33.087,-4.142,1.37,33.406,13,0.0,CHECK_FALL
2026-03-11T16:15:40.499,-0.018,1.19,0.633,-8.241,-22.797,-0.502,1.349,24.246,14,0.0,CHECK_FALL
2026-03-11T16:15:40.506,-0.054,1.166,0.633,-7.331,-12.577,1.598,1.328,14.645,14,0.0,CHECK_FALL
2026-03-11T16:15:40.525,-0.063,1.109,0.667,-10.481,-5.857,2.298,1.296,12.225,13,0.0,CHECK_FALL
2026-03-11T16:15:40.540,-0.068,1.022,0.656,-27.071,0.373,4.258,1.216,27.407,14,0.0,CHECK_FALL
2026-03-11T16:15:40.549,-0.124,0.924,0.586,-51.851,-5.997,6.008,1.102,52.541,14,0.0,CHECK_FALL
2026-03-11T16:15:40.563,-0.144,0.757,0.463,-68.791,-16.357,2.578,0.899,70.756,13,0.0,CHECK_FALL
2026-03-11T16:15:40.580,-0.066,0.592,0.4,-78.171,-26.087,-1.552,0.718,82.424,14,0.0,CHECK_FALL
2026-03-11T16:15:40.587,0.023,0.468,0.272,-78.801,-23.497,-4.002,0.542,82.327,14,0.0,CHECK_FALL
2026-03-11T16:15:40.605,0.09,0.416,0.087,-74.251,-10.547,-5.682,0.434,75.211,13,0.0,CHECK_FALL
2026-03-11T16:15:40.619,0.143,0.434,-0.132,-70.821,19.903,-3.582,0.475,73.652,14,0.0,CHECK_FALL
2026-03-11T16:15:40.633,0.187,0.51,-0.321,-70.051,26.063,-2.042,0.631,74.77,14,0.0,CHECK_FALL
2026-03-11T16:15:40.642,0.257,0.635,-0.468,-52.341,24.873,1.038,0.829,57.96,13,0.0,CHECK_FALL
2026-03-11T16:15:40.659,0.357,0.794,-0.535,-2.991,13.743,9.438,1.021,16.938,14,0.0,CHECK_FALL
2026-03-11T16:15:40.675,0.38,1.033,-0.44,87.029,-6.137,27.778,1.185,91.561,14,0.0,CHECK_FALL
2026-03-11T16:15:40.685,0.546,1.533,-0.002,205.609,-70.467,82.448,1.628,232.462,13,0.0,CHECK_FALL
2026-03-11T16:15:40.705,0.471,1.982,0.736,268.609,-125.557,116.538,2.166,318.585,14,0.0,CHECK_FALL
2026-03-11T16:15:40.717,0.311,1.992,1.252,201.829,-115.057,107.858,2.373,256.138,14,0.0,CHECK_FALL
2026-03-11T16:15:40.729,0.134,1.996,1.515,63.929,-100.567,103.238,2.509,157.667,13,0.0,CHECK_FALL
2026-03-11T16:15:40.738,0.188,2.159,1.159,-17.551,-78.867,80.558,2.458,114.095,14,0.0,CHECK_FALL
2026-03-11T16:15:40.759,0.065,2.081,1.038,-41.281,-44.287,43.808,2.326,74.731,14,0.0,CHECK_FALL
2026-03-11T16:15:40.770,0.241,1.954,1.15,-65.501,10.243,18.048,2.28,68.71,13,0.0,CHECK_FALL
2026-03-11T16:15:40.786,0.339,1.943,0.91,-101.271,62.953,2.368,2.172,119.266,14,0.0,CHECK_FALL
2026-03-11T16:15:40.801,0.283,1.768,0.737,-90.351,139.113,-16.812,1.937,166.728,14,0.0,CHECK_FALL
2026-03-11T16:15:40.812,0.275,1.539,0.596,-95.881,172.643,-38.722,1.673,201.241,13,0.0,CHECK_FALL
2026-03-11T16:15:40.822,0.188,1.278,0.45,-74.881,159.203,-40.822,1.368,180.608,14,0.0,CHECK_FALL
2026-03-11T16:15:40.842,0.114,1.049,0.501,-66.621,126.513,-40.962,1.168,148.734,14,0.0,CHECK_FALL
2026-03-11T16:15:40.855,0.083,0.815,0.457,-67.811,103.623,-44.392,0.938,131.555,13,0.0,CHECK_FALL
2026-03-11T16:15:40.864,0.067,0.603,0.416,-80.901,77.793,-50.482,0.736,123.065,14,0.0,CHECK_FALL
2026-03-11T16:15:40.882,0.09,0.386,0.295,-106.311,50.493,-56.012,0.494,130.341,14,0.0,CHECK_FALL
2026-03-11T16:15:40.897,0.098,0.196,0.101,-136.621,37.263,-67.282,0.241,156.782,13,0.0,CHECK_FALL
2026-03-11T16:15:40.911,0.112,0.014,-0.103,-167.141,19.063,-80.022,0.153,186.287,14,0.0,CHECK_FALL
2026-03-11T16:15:40.921,0.102,-0.197,-0.218,-177.291,30.123,-87.302,0.311,199.903,14,0.0,CHECK_FALL
2026-03-11T16:15:40.930,0.051,-0.421,-0.408,-162.031,48.323,-75.402,0.588,185.134,13,0.0,CHECK_FALL
2026-03-11T16:15:40.950,-0.024,-0.464,-0.677,-106.941,50.493,-50.902,0.821,128.751,14,0.0,CHECK_FALL
2026-03-11T16:15:40.965,-0.195,-0.316,-0.8,-30.921,43.353,-44.112,0.882,69.148,14,0.0,CHECK_FALL
2026-03-11T16:15:40.971,-0.178,-0.219,-0.607,68.619,20.043,-32.772,0.669,78.64,13,0.0,CHECK_FALL
2026-03-11T16:15:40.988,-0.129,-0.037,-0.356,134.629,-3.547,-13.872,0.38,135.388,14,0.0,CHECK_FALL
2026-03-11T16:15:41.005,-0.096,0.272,-0.08,162.909,-33.997,3.488,0.299,166.455,14,0.0,CHECK_FALL
2026-03-11T16:15:41.016,-0.005,0.547,0.029,169.489,-63.467,22.738,0.548,182.405,13,0.0,CHECK_FALL
2026-03-11T16:15:41.031,0.117,1.158,-0.055,215.409,-110.367,72.508,1.165,252.665,14,0.0,CHECK_FALL
2026-03-11T16:15:41.044,0.194,2.157,-0.003,320.269,-164.687,148.388,2.165,389.504,14,0.0,CHECK_FALL
2026-03-11T16:15:41.059,0.17,2.737,0.627,321.109,-224.817,153.498,2.814,420.97,13,0.0,CHECK_FALL
2026-03-11T16:15:41.073,-0.016,2.943,1.338,109.289,-248.897,101.768,3.233,290.26,14,0.0,CHECK_FALL
2026-03-11T16:15:41.086,0.159,2.858,1.605,-131.861,-275.287,44.928,3.282,308.527,14,0.0,CHECK_FALL
2026-03-11T16:15:41.100,0.303,2.533,1.171,-332.201,-243.227,35.758,2.807,413.274,13,0.0,CHECK_FALL
2026-03-11T16:15:41.114,0.196,1.849,0.864,-213.971,-139.627,-30.462,2.05,257.308,14,0.0,CHECK_FALL
2026-03-11T16:15:41.127,0.755,1.425,0.906,-35.541,45.943,-46.282,1.849,74.269,14,0.0,CHECK_FALL
2026-03-11T16:15:41.138,0.407,1.779,0.926,-14.401,131.203,-69.172,2.047,149.018,13,0.0,CHECK_FALL
2026-03-11T16:15:41.148,0.313,1.857,0.689,-45.061,122.943,-87.512,2.005,157.492,14,0.0,CHECK_FALL
2026-03-11T16:15:41.166,0.409,1.654,0.527,-73.551,56.233,-89.052,1.783,128.46,14,0.0,CHECK_FALL
2026-03-11T16:15:41.178,0.382,1.251,0.506,-95.951,41.953,-90.522,1.402,138.423,13,0.0,CHECK_FALL
2026-03-11T16:15:41.197,0.319,0.815,0.237,-57.031,31.243,-77.642,0.907,101.276,14,0.0,CHECK_FALL
2026-03-11T16:15:41.205,0.198,0.533,0.154,-35.681,14.583,-62.732,0.589,73.628,14,0.0,CHECK_FALL
2026-03-11T16:15:41.222,0.126,0.331,0.192,2.259,-3.617,-46.142,0.403,46.338,13,0.0,CHECK_FALL
2026-03-11T16:15:41.232,0.054,0.22,0.227,18.499,-4.877,-35.082,0.321,39.959,14,0.0,CHECK_FALL
2026-03-11T16:15:41.250,-0.077,0.219,0.36,-24.131,20.883,-50.482,0.428,59.723,14,0.0,CHECK_FALL
2026-03-11T16:15:41.259,0.194,0.013,0.392,-102.811,75.343,-26.402,0.438,130.168,14,0.0,CHECK_FALL
2026-03-11T16:15:41.277,0.168,-0.147,0.085,-202.911,98.093,0.058,0.239,225.378,13,0.0,CHECK_FALL
2026-03-11T16:15:41.293,0.075,-0.114,-0.36,-243.791,104.883,1.178,0.385,265.398,14,0.0,CHECK_FALL
2026-03-11T16:15:41.307,0.192,-0.181,-0.835,-199.341,105.863,-6.592,0.875,225.804,14,0.0,CHECK_FALL
2026-03-11T16:15:41.312,0.375,-0.388,-0.938,-113.101,113.633,9.648,1.082,160.616,13,0.0,CHECK_FALL
2026-03-11T16:15:41.330,0.412,-0.44,-0.694,5.129,106.423,30.508,0.919,110.828,14,0.0,CHECK_FALL
2026-03-11T16:15:41.343,0.278,-0.322,-0.363,104.109,86.683,53.958,0.559,145.822,14,0.0,CHECK_FALL
2026-03-11T16:15:41.360,0.19,-0.006,-0.03,136.589,63.233,71.318,0.193,166.557,13,0.0,CHECK_FALL
2026-03-11T16:15:41.366,0.2,0.371,0.164,113.349,38.173,74.888,0.452,141.115,14,0.0,CHECK_FALL
2026-03-11T16:15:41.386,0.347,0.573,0.122,85.699,17.733,87.488,0.68,123.746,14,0.0,CHECK_FALL
2026-03-11T16:15:41.399,0.396,1.174,-0.101,135.819,-3.267,107.788,1.243,173.424,13,0.0,CHECK_FALL
2026-03-11T16:15:41.407,0.675,2.57,0.391,315.229,-93.287,197.528,2.685,383.522,14,0.0,CHECK_FALL
2026-03-11T16:15:41.428,0.8,2.999,0.835,298.289,-66.547,227.068,3.215,380.743,14,0.0,CHECK_FALL
2026-03-11T16:15:41.438,0.247,3.452,1.349,198.889,-133.677,184.088,3.714,302.184,13,0.0,CHECK_FALL
2026-03-11T16:15:41.449,0.619,3.02,2.051,-49.681,-99.027,42.268,3.703,118.58,14,0.0,CHECK_FALL
2026-03-11T16:15:41.470,1.355,2.393,1.302,-274.731,-19.997,67.678,3.043,283.65,14,0.0,CHECK_FALL
2026-03-11T16:15:41.481,0.935,2.026,0.786,-305.601,103.413,65.018,2.366,329.11,13,0.0,CHECK_FALL
2026-03-11T16:15:41.491,0.647,1.507,0.4,-143.201,214.783,10.978,1.688,258.377,14,0.0,CHECK_FALL
2026-03-11T16:15:41.507,0.51,1.261,0.493,-8.451,296.753,-35.362,1.447,298.972,14,0.0,CHECK_FALL
2026-03-11T16:15:41.525,0.374,1.294,0.554,69.809,297.663,-51.882,1.457,310.11,13,0.0,CHECK_FALL
2026-03-11T16:15:41.534,0.21,1.337,0.933,72.679,240.753,-56.292,1.644,257.707,14,0.0,CHECK_FALL
2026-03-11T16:15:41.546,0.093,1.117,0.707,35.929,186.993,-58.112,1.326,199.083,14,0.0,CHECK_FALL
2026-03-11T16:15:41.565,-0.039,0.89,0.588,-18.111,91.933,-45.232,1.067,104.046,13,0.0,CHECK_FALL
2026-03-11T16:15:41.574,-0.047,0.72,0.374,-42.191,31.243,-34.802,0.812,62.987,14,0.0,CHECK_FALL
2026-03-11T16:15:41.592,-0.023,0.575,0.231,-13.701,-1.587,-32.702,0.62,35.491,14,0.0,CHECK_FALL
2026-03-11T16:15:41.603,-0.034,0.494,0.301,25.989,-2.567,-38.442,0.579,46.473,13,0.0,CHECK_FALL
2026-03-11T16:15:41.617,-0.193,0.483,0.475,14.439,-5.787,-59.792,0.704,61.782,14,0.0,CHECK_FALL
2026-03-11T16:15:41.635,-0.017,0.323,0.632,-45.481,22.423,-66.372,0.71,83.525,14,0.0,CHECK_FALL
2026-03-11T16:15:41.645,0.007,0.168,0.47,-128.711,52.243,-55.732,0.499,149.673,13,0.0,CHECK_FALL
2026-03-11T16:15:41.657,-0.232,0.164,0.093,-187.161,40.833,-71.062,0.299,204.319,14,0.0,CHECK_FALL
2026-03-11T16:15:41.667,-0.175,0.109,-0.434,-216.141,15.983,-93.392,0.481,235.997,14,0.0,CHECK_FALL
2026-03-11T16:15:41.688,0.078,-0.098,-0.659,-193.881,2.753,-82.682,0.671,210.793,13,0.0,CHECK_FALL
2026-03-11T16:15:41.700,0.157,-0.3,-0.702,-108.761,13.113,-68.892,0.779,129.41,14,0.0,CHECK_FALL
2026-03-11T16:15:41.709,0.218,-0.386,-0.569,16.049,30.963,-57.272,0.721,67.054,14,0.0,CHECK_FALL
2026-03-11T16:15:41.731,0.209,-0.307,-0.298,124.619,32.853,-38.372,0.476,134.468,13,0.0,CHECK_FALL
2026-03-11T16:15:41.741,0.134,0.04,-0.097,176.489,2.823,-6.172,0.17,176.619,14,0.0,CHECK_FALL
2026-03-11T16:15:41.751,0.051,0.529,0.012,190.489,-30.357,25.958,0.531,194.632,14,0.0,CHECK_FALL
