timestamp,AX,AY,AZ,GX,GY,GZ,ASVM,GSVM,MCU_TIME,FALL_EVENT,FALL_STATE
2026-03-11T16:10:44.561,0.221,0.689,0.289,-23.991,12.763,0.618,0.779,27.182,14,0.0,IDLE_FALL
2026-03-11T16:10:44.561,0.221,0.671,0.264,-17.411,16.543,2.578,0.754,24.155,4,0.0,CHECK_FALL
2026-03-11T16:10:44.561,0.22,0.665,0.215,-11.041,20.743,3.488,0.733,23.756,4,0.0,CHECK_FALL
2026-03-11T16:10:44.580,0.238,0.681,0.106,3.519,33.623,2.998,0.73,33.939,14,0.0,CHECK_FALL
2026-03-11T16:10:44.591,0.247,0.767,0.009,19.269,34.743,0.758,0.806,39.736,14,0.0,CHECK_FALL
2026-03-11T16:10:44.612,0.241,0.86,0.021,37.329,23.473,1.108,0.893,44.109,13,0.0,CHECK_FALL
2026-03-11T16:10:44.622,0.222,0.984,0.154,56.229,6.813,6.708,1.02,57.036,14,0.0,CHECK_FALL
2026-03-11T16:10:44.632,0.206,1.167,0.356,72.959,-2.917,13.428,1.238,74.242,14,0.0,CHECK_FALL
2026-03-11T16:10:44.642,0.181,1.24,0.542,65.819,-1.867,16.368,1.365,67.849,13,0.0,CHECK_FALL
2026-03-11T16:10:44.663,0.082,1.201,0.621,29.979,6.393,11.258,1.354,32.655,14,0.0,CHECK_FALL
2026-03-11T16:10:44.676,0.04,1.081,0.631,-5.861,15.703,2.578,1.252,16.958,14,0.0,CHECK_FALL
2026-03-11T16:10:44.684,0.035,0.946,0.565,-22.171,22.703,-3.652,1.103,31.942,13,0.0,CHECK_FALL
2026-03-11T16:10:44.706,0.063,0.852,0.447,-21.681,25.643,-6.522,0.964,34.207,14,0.0,CHECK_FALL
2026-03-11T16:10:44.716,0.073,0.801,0.361,-10.551,23.333,-7.572,0.882,26.703,14,0.0,CHECK_FALL
2026-03-11T16:10:44.731,0.081,0.786,0.355,-1.241,17.243,-7.712,0.866,18.929,14,0.0,CHECK_FALL
2026-03-11T16:10:44.737,0.102,0.817,0.364,0.929,7.513,-7.222,0.9,10.462,13,0.0,CHECK_FALL
2026-03-11T16:10:44.760,0.135,0.859,0.36,0.229,-1.867,-7.362,0.941,7.598,14,0.0,CHECK_FALL
2026-03-11T16:10:44.773,0.189,0.903,0.373,-0.191,-6.977,-6.942,0.995,9.844,14,0.0,CHECK_FALL
2026-03-11T16:10:44.786,0.229,0.917,0.392,1.839,-7.817,-5.332,1.023,9.639,13,0.0,CHECK_FALL
2026-03-11T16:10:44.800,0.242,0.909,0.395,6.949,-5.297,-2.742,1.02,9.158,14,0.0,CHECK_FALL
2026-03-11T16:10:44.815,0.243,0.896,0.42,11.499,-1.237,-1.902,1.019,11.721,14,0.0,CHECK_FALL
2026-03-11T16:10:44.825,0.231,0.876,0.448,12.829,4.573,-1.272,1.011,13.679,13,0.0,CHECK_FALL
2026-03-11T16:10:44.834,0.21,0.868,0.459,11.079,9.193,-1.062,1.004,14.435,14,0.0,CHECK_FALL
2026-03-11T16:10:44.854,0.186,0.864,0.47,8.279,10.733,-0.782,1.001,13.577,14,0.0,CHECK_FALL
2026-03-11T16:10:44.864,0.161,0.866,0.479,5.759,10.103,-0.642,1.002,11.647,13,0.0,CHECK_FALL
2026-03-11T16:10:44.876,0.138,0.873,0.478,5.619,8.843,-0.712,1.005,10.501,14,0.0,CHECK_FALL
2026-03-11T16:10:44.896,0.123,0.892,0.473,4.149,6.253,-1.272,1.017,7.611,14,0.0,CHECK_FALL
2026-03-11T16:10:44.909,0.114,0.904,0.466,0.019,0.443,-2.882,1.024,2.915,13,0.0,CHECK_FALL
2026-03-11T16:10:44.916,0.13,0.905,0.44,-6.631,-5.157,-5.122,1.015,9.839,14,0.0,CHECK_FALL
2026-03-11T16:10:44.937,0.136,0.908,0.426,-11.251,-12.857,-7.432,1.012,18.631,14,0.0,CHECK_FALL
2026-03-11T16:10:44.948,0.147,0.9,0.421,-11.251,-16.077,-8.342,1.004,21.322,13,0.0,CHECK_FALL
2026-03-11T16:10:44.958,0.154,0.896,0.415,-3.971,-17.057,-7.362,1.0,18.998,14,0.0,CHECK_FALL
2026-03-11T16:10:44.968,0.154,0.905,0.448,4.219,-17.477,-6.242,1.022,19.032,14,0.0,CHECK_FALL
