timestamp,AX,AY,AZ,GX,GY,GZ,ASVM,GSVM,MCU_TIME,FALL_EVENT,FALL_STATE
2026-04-02T16:19:37.139,0.126,-0.751,0.225,7.859,39.013,12.728,0.794,41.782,11,0.0,IDLE_FALL
2026-04-02T16:19:37.139,0.14,-0.727,0.223,7.579,38.943,14.548,0.774,42.257,4,0.0,CHECK_FALL
2026-04-02T16:19:37.139,0.16,-0.702,0.222,7.089,37.543,16.158,0.753,41.483,4,0.0,CHECK_FALL
2026-04-02T16:19:37.155,0.211,-0.643,0.194,6.809,32.083,18.538,0.704,37.674,11,0.0,CHECK_FALL
2026-04-02T16:19:37.170,0.263,-0.598,0.177,10.099,23.753,18.468,0.676,31.737,11,0.0,CHECK_FALL
2026-04-02T16:19:37.170,0.262,-0.587,0.255,11.359,18.643,18.468,0.692,28.595,11,0.0,CHECK_FALL
2026-04-02T16:19:37.186,0.18,-0.48,0.525,8.769,25.713,6.918,0.733,28.034,10,0.0,CHECK_FALL
2026-04-02T16:19:37.204,0.345,-0.608,0.284,11.009,9.053,6.848,0.754,15.813,11,0.0,CHECK_FALL
2026-04-02T16:19:37.204,0.251,-0.601,0.336,21.299,13.603,-7.082,0.733,26.245,11,0.0,CHECK_FALL
2026-04-02T16:19:37.219,0.366,-0.683,0.189,22.209,16.193,-5.332,0.797,27.998,11,0.0,CHECK_FALL
2026-04-02T16:19:37.238,0.336,-0.753,0.14,30.189,10.733,-0.362,0.837,32.042,10,0.0,CHECK_FALL
2026-04-02T16:19:37.247,0.355,-0.738,0.137,32.989,5.693,2.508,0.83,33.57,11,0.0,CHECK_FALL
2026-04-02T16:19:37.262,0.384,-0.742,0.144,32.919,4.433,7.338,0.848,34.017,11,0.0,CHECK_FALL
2026-04-02T16:19:37.262,0.352,-0.733,0.205,27.809,1.983,9.508,0.839,29.456,11,0.0,CHECK_FALL
2026-04-02T16:19:37.262,0.315,-0.719,0.208,20.879,-2.637,8.178,0.812,22.578,10,0.0,CHECK_FALL
2026-04-02T16:19:37.278,0.335,-0.725,0.164,19.969,-9.567,8.178,0.816,23.605,11,0.0,CHECK_FALL
2026-04-02T16:19:37.299,0.248,-0.705,0.351,27.459,-1.307,5.868,0.825,28.109,11,0.0,CHECK_FALL
2026-04-02T16:19:37.299,0.355,-0.758,0.055,38.169,-10.057,13.848,0.839,41.831,11,0.0,CHECK_FALL
2026-04-02T16:19:37.316,0.411,-0.709,0.173,44.889,-16.777,20.358,0.838,52.067,10,0.0,CHECK_FALL
2026-04-02T16:19:37.332,0.457,-0.696,0.001,50.349,-27.137,28.898,0.833,64.082,11,0.0,CHECK_FALL
