timestamp,AX,AY,AZ,GX,GY,GZ,ASVM,GSVM,MCU_TIME,FALL_EVENT,FALL_STATE
2026-04-02T16:32:02.126,-0.229,-0.646,-0.058,-43.311,48.323,-1.762,0.688,64.916,11,0.0,IDLE_FALL
2026-04-02T16:32:02.142,-0.203,-0.562,-0.049,-48.001,47.553,-3.092,0.6,67.638,4,0.0,CHECK_FALL
2026-04-02T16:32:02.142,-0.171,-0.481,-0.046,-51.991,46.713,-3.722,0.513,69.993,5,0.0,CHECK_FALL
2026-04-02T16:32:02.155,-0.081,-0.3,-0.034,-54.931,42.513,-4.142,0.312,69.584,11,0.0,CHECK_FALL
2026-04-02T16:32:02.171,-0.015,-0.211,0.059,-53.671,35.373,-3.862,0.22,64.395,10,0.0,CHECK_FALL
2026-04-02T16:32:02.171,0.033,-0.147,0.105,-51.921,29.423,-3.652,0.183,59.79,11,0.0,CHECK_FALL
2026-04-02T16:32:02.187,0.084,-0.049,0.155,-53.531,27.183,-0.362,0.182,60.038,11,0.0,CHECK_FALL
2026-04-02T16:32:02.205,0.13,0.035,0.189,-58.011,22.843,2.088,0.233,62.381,11,0.0,CHECK_FALL
2026-04-02T16:32:02.205,0.161,0.11,0.182,-58.851,14.933,6.358,0.266,61.048,10,0.0,CHECK_FALL
2026-04-02T16:32:02.221,0.179,0.135,0.221,-51.991,12.483,9.858,0.315,54.37,11,0.0,CHECK_FALL
2026-04-02T16:32:02.227,0.209,0.118,0.234,-38.551,15.213,14.058,0.336,43.764,11,0.0,CHECK_FALL
2026-04-02T16:32:02.244,0.232,0.247,0.205,-32.601,16.753,9.158,0.397,37.78,10,0.0,CHECK_FALL
2026-04-02T16:32:02.244,0.235,0.278,0.163,-25.881,17.033,-1.342,0.399,31.012,11,0.0,CHECK_FALL
2026-04-02T16:32:02.260,0.185,0.218,0.138,-16.221,20.533,-8.482,0.318,27.507,11,0.0,CHECK_FALL
2026-04-02T16:32:02.277,-0.056,0.282,0.048,-11.111,24.383,-19.402,0.292,33.082,11,0.0,CHECK_FALL
2026-04-02T16:32:02.289,-0.042,0.272,-0.207,-5.161,28.583,-27.942,0.344,40.303,10,0.0,CHECK_FALL
2026-04-02T16:32:02.294,0.005,0.067,-0.355,-6.841,18.083,-32.842,0.362,38.11,11,0.0,CHECK_FALL
2026-04-02T16:32:02.310,0.115,-0.278,0.204,-25.111,1.773,-37.182,0.363,44.902,11,0.0,CHECK_FALL
2026-04-02T16:32:02.310,0.27,-0.639,0.017,19.199,1.493,-44.602,0.694,48.581,11,0.0,CHECK_FALL
2026-04-02T16:32:02.329,0.383,-1.152,-0.949,110.689,21.163,-58.042,1.541,126.762,10,0.0,CHECK_FALL
2026-04-02T16:32:02.345,0.468,-1.944,-0.169,118.109,26.343,-85.202,2.007,147.996,11,0.0,CHECK_FALL
2026-04-02T16:32:02.345,0.585,-3.54,0.893,12.129,-8.587,-151.912,3.698,152.637,11,0.0,CHECK_FALL
2026-04-02T16:32:02.356,1.126,-3.479,0.029,-37.431,-21.957,-145.402,3.657,151.739,11,0.0,CHECK_FALL
2026-04-02T16:32:02.374,1.049,-2.431,0.117,-8.381,-69.277,-26.262,2.65,74.56,10,0.0,CHECK_FALL
2026-04-02T16:32:02.374,0.55,-2.323,0.211,-21.261,-93.287,37.788,2.396,102.871,11,0.0,CHECK_FALL
2026-04-02T16:32:02.392,0.344,-2.035,-0.291,-8.381,-70.047,39.188,2.084,80.701,11,0.0,CHECK_FALL
2026-04-02T16:32:02.408,0.35,-1.865,-0.516,20.879,-49.817,15.878,1.966,56.301,11,0.0,CHECK_FALL
2026-04-02T16:32:02.408,0.207,-1.684,-0.55,11.429,-42.957,-14.642,1.784,46.801,10,0.0,CHECK_FALL
2026-04-02T16:32:02.428,0.242,-1.749,-0.599,14.159,-45.967,-28.712,1.865,56.016,11,0.0,CHECK_FALL
2026-04-02T16:32:02.428,0.248,-1.795,-0.55,21.509,-46.667,-34.102,1.893,61.672,11,0.0,CHECK_FALL
2026-04-02T16:32:02.445,0.261,-1.72,-0.591,21.999,-58.217,-28.012,1.837,68.248,11,0.0,CHECK_FALL
2026-04-02T16:32:02.461,0.318,-1.581,-0.39,21.439,-87.407,-19.262,1.659,92.036,10,0.0,CHECK_FALL
2026-04-02T16:32:02.461,0.229,-1.424,-0.184,17.939,-107.147,-11.772,1.454,109.274,11,0.0,CHECK_FALL
2026-04-02T16:32:02.478,0.22,-1.338,-0.051,13.389,-106.937,-8.132,1.357,108.078,11,0.0,CHECK_FALL
2026-04-02T16:32:02.494,0.148,-1.272,-0.046,7.019,-100.707,-7.572,1.281,101.235,11,0.0,CHECK_FALL
2026-04-02T16:32:02.494,0.13,-1.177,-0.011,5.339,-85.867,1.038,1.185,86.039,10,0.0,CHECK_FALL
2026-04-02T16:32:02.511,0.002,-0.97,-0.05,8.909,-78.937,7.618,0.971,79.803,11,0.0,CHECK_FALL
2026-04-02T16:32:02.511,-0.002,-0.793,-0.05,16.119,-80.057,18.258,0.794,83.68,11,0.0,CHECK_FALL
2026-04-02T16:32:02.527,0.032,-0.643,-0.143,22.139,-74.527,29.388,0.659,83.115,11,0.0,CHECK_FALL
2026-04-02T16:32:02.538,0.037,-0.519,-0.191,18.289,-71.377,36.318,0.554,82.148,10,0.0,CHECK_FALL
2026-04-02T16:32:02.557,0.036,-0.337,-0.182,14.859,-62.837,36.808,0.384,74.325,11,0.0,CHECK_FALL
2026-04-02T16:32:02.569,0.039,-0.221,-0.137,-1.101,-59.197,31.908,0.263,67.258,11,0.0,CHECK_FALL
2026-04-02T16:32:02.577,0.097,-0.201,-0.032,-22.171,-60.667,30.578,0.226,71.464,11,0.0,CHECK_FALL
2026-04-02T16:32:02.577,0.132,-0.168,-0.133,-16.081,-54.927,30.368,0.252,64.791,10,0.0,CHECK_FALL
2026-04-02T16:32:02.596,0.165,-0.151,-0.02,-0.961,-47.857,30.788,0.224,56.914,11,0.0,CHECK_FALL
2026-04-02T16:32:02.612,0.187,-0.182,0.081,-8.171,-49.817,29.388,0.274,58.414,11,0.0,CHECK_FALL
2026-04-02T16:32:02.618,0.184,-0.234,0.079,-10.621,-46.107,22.668,0.308,52.465,10,0.0,CHECK_FALL
2026-04-02T16:32:02.629,0.184,-0.303,0.069,-13.631,-41.557,17.698,0.361,47.181,11,0.0,CHECK_FALL
2026-04-02T16:32:02.645,0.142,-0.346,0.049,-17.551,-39.457,7.618,0.377,43.852,11,0.0,CHECK_FALL
2026-04-02T16:32:02.645,0.124,-0.359,0.023,-25.951,-41.417,-2.672,0.38,48.949,11,0.0,CHECK_FALL
2026-04-02T16:32:02.660,0.108,-0.406,0.012,-30.081,-42.047,1.388,0.421,51.718,10,0.0,CHECK_FALL
2026-04-02T16:32:02.676,-0.003,-0.351,0.028,-30.851,-30.357,6.498,0.352,43.767,11,0.0,CHECK_FALL
2026-04-02T16:32:02.676,-0.059,-0.272,0.004,-38.761,-20.347,7.128,0.279,44.354,11,0.0,CHECK_FALL
2026-04-02T16:32:02.692,-0.114,-0.172,-0.005,-42.541,-20.767,4.258,0.206,47.531,11,0.0,CHECK_FALL
2026-04-02T16:32:02.707,-0.142,-0.249,0.048,-33.581,-13.137,7.828,0.291,36.899,10,0.0,CHECK_FALL
2026-04-02T16:32:02.707,-0.155,-0.429,0.159,-35.051,1.283,9.368,0.483,36.304,11,0.0,CHECK_FALL
2026-04-02T16:32:02.724,-0.087,-0.663,-0.057,-24.131,2.403,4.958,0.671,24.752,11,0.0,CHECK_FALL
2026-04-02T16:32:02.741,-0.077,-0.978,-0.249,10.519,-4.387,-6.312,1.012,13.028,11,0.0,CHECK_FALL
2026-04-02T16:32:02.741,-0.167,-1.286,-0.146,12.339,1.703,-26.752,1.305,29.509,10,0.0,CHECK_FALL
2026-04-02T16:32:02.758,-0.228,-2.13,-0.126,-29.101,12.343,-56.152,2.146,64.438,11,0.0,CHECK_FALL
2026-04-02T16:32:02.758,0.041,-2.932,-0.079,-58.641,6.043,-81.492,2.934,100.579,11,0.0,CHECK_FALL
2026-04-02T16:32:02.783,0.754,-2.964,0.127,-45.271,-21.117,-75.612,3.061,90.623,11,0.0,CHECK_FALL
2026-04-02T16:32:02.794,0.867,-1.897,0.058,-46.881,-48.907,-6.872,2.087,68.095,10,0.0,CHECK_FALL
2026-04-02T16:32:02.804,0.348,-1.812,-0.338,-30.431,-50.517,30.018,1.876,66.175,11,0.0,CHECK_FALL
2026-04-02T16:32:02.804,-0.074,-1.668,-0.437,-7.611,-63.607,31.768,1.726,71.506,11,0.0,CHECK_FALL
2026-04-02T16:32:02.820,-0.136,-1.455,-0.523,12.409,-83.907,12.868,1.552,85.79,11,0.0,CHECK_FALL
2026-04-02T16:32:02.829,-0.166,-1.257,-0.567,23.609,-86.357,-8.622,1.389,89.94,10,0.0,CHECK_FALL
2026-04-02T16:32:02.847,-0.142,-1.215,-0.569,22.629,-72.287,-13.872,1.349,77.006,11,0.0,CHECK_FALL
2026-04-02T16:32:02.847,-0.094,-1.322,-0.577,5.479,-48.837,-9.392,1.446,50.033,11,0.0,CHECK_FALL
2026-04-02T16:32:02.863,-0.097,-1.498,-0.578,-11.321,-29.517,-4.562,1.609,31.941,11,0.0,CHECK_FALL
2026-04-02T16:32:02.878,-0.104,-1.605,-0.591,-20.561,-20.837,-4.492,1.713,29.616,10,0.0,CHECK_FALL
2026-04-02T16:32:02.878,-0.025,-1.555,-0.6,-15.521,-24.197,-5.402,1.666,29.25,11,0.0,CHECK_FALL
2026-04-02T16:32:02.894,0.025,-1.381,-0.486,-5.301,-32.177,-5.262,1.464,33.033,11,0.0,CHECK_FALL
2026-04-02T16:32:02.911,0.03,-1.239,-0.35,10.729,-37.147,-4.282,1.288,38.902,11,0.0,CHECK_FALL
2026-04-02T16:32:02.924,0.014,-1.112,-0.252,26.269,-44.637,-8.552,1.14,52.494,10,0.0,CHECK_FALL
2026-04-02T16:32:02.924,0.178,-0.982,-0.246,36.769,-47.857,-15.062,1.028,62.202,11,0.0,CHECK_FALL
2026-04-02T16:32:02.940,0.129,-0.888,-0.225,42.719,-57.307,-15.342,0.926,73.105,11,0.0,CHECK_FALL
2026-04-02T16:32:02.940,0.154,-0.75,-0.149,42.229,-62.697,-13.872,0.78,76.855,10,0.0,CHECK_FALL
2026-04-02T16:32:02.958,0.152,-0.606,-0.07,32.779,-66.757,-14.852,0.629,75.839,11,0.0,CHECK_FALL
2026-04-02T16:32:02.975,0.156,-0.498,-0.063,24.169,-72.567,-16.322,0.525,78.208,11,0.0,CHECK_FALL
2026-04-02T16:32:02.975,0.138,-0.39,-0.083,23.399,-77.327,-14.432,0.422,82.069,11,0.0,CHECK_FALL
2026-04-02T16:32:02.991,0.114,-0.311,-0.055,22.909,-77.887,-10.862,0.336,81.91,10,0.0,CHECK_FALL
2026-04-02T16:32:03.007,0.065,-0.238,-0.046,18.219,-76.907,-6.942,0.251,79.34,11,0.0,CHECK_FALL
2026-04-02T16:32:03.007,0.021,-0.215,-0.052,12.409,-74.807,-5.822,0.222,76.053,11,0.0,CHECK_FALL
2026-04-02T16:32:03.030,-0.018,-0.236,-0.103,7.649,-71.307,-6.942,0.258,72.051,11,0.0,CHECK_FALL
2026-04-02T16:32:03.030,-0.036,-0.312,-0.043,1.909,-74.177,-12.472,0.317,75.243,10,0.0,CHECK_FALL
2026-04-02T16:32:03.047,-0.026,-0.461,0.007,-16.781,-78.027,-21.852,0.462,82.749,11,0.0,CHECK_FALL
2026-04-02T16:32:03.063,-0.052,-0.539,-0.254,-2.011,-70.957,-33.962,0.598,78.692,11,0.0,CHECK_FALL
2026-04-02T16:32:03.064,-0.002,-0.645,-0.155,16.749,-66.687,-45.792,0.663,82.611,11,0.0,CHECK_FALL
2026-04-02T16:32:03.078,0.047,-0.731,-0.038,17.029,-64.377,-52.652,0.734,84.892,10,0.0,CHECK_FALL
2026-04-02T16:32:03.094,0.075,-0.86,-0.013,12.899,-63.957,-57.132,0.863,86.723,11,0.0,CHECK_FALL
2026-04-02T16:32:03.094,0.017,-0.994,-0.004,8.419,-63.537,-57.832,0.994,86.327,11,0.0,CHECK_FALL
2026-04-02T16:32:03.111,-0.079,-1.05,-0.082,4.429,-65.217,-54.752,1.057,85.268,11,0.0,CHECK_FALL
2026-04-02T16:32:03.127,-0.13,-1.072,-0.155,-1.871,-71.307,-47.752,1.091,85.84,10,0.0,CHECK_FALL
2026-04-02T16:32:03.127,-0.169,-1.123,-0.268,-7.401,-76.697,-42.082,1.167,87.796,11,0.0,CHECK_FALL
2026-04-02T16:32:03.145,-0.158,-1.185,-0.329,-2.361,-82.997,-40.262,1.24,92.277,11,0.0,CHECK_FALL
2026-04-02T16:32:03.160,-0.079,-1.241,-0.298,2.469,-88.807,-39.632,1.279,97.28,11,0.0,CHECK_FALL
2026-04-02T16:32:03.160,-0.012,-1.232,-0.289,3.169,-91.397,-40.122,1.266,99.866,10,0.0,CHECK_FALL
2026-04-02T16:32:03.177,0.047,-1.137,-0.344,4.009,-89.227,-39.142,1.189,97.517,11,0.0,CHECK_FALL
2026-04-02T16:32:03.177,0.078,-1.04,-0.393,1.909,-86.847,-38.512,1.114,95.022,11,0.0,CHECK_FALL
2026-04-02T16:32:03.194,0.098,-1.032,-0.411,-14.751,-88.317,-41.312,1.115,98.611,11,0.0,CHECK_FALL
2026-04-02T16:32:03.210,0.148,-1.139,-0.407,-35.471,-91.467,-48.942,1.219,109.635,10,0.0,CHECK_FALL
2026-04-02T16:32:03.210,0.182,-1.284,-0.479,-56.261,-97.767,-72.602,1.383,134.144,11,0.0,CHECK_FALL
2026-04-02T16:32:03.230,0.24,-1.335,-0.497,-54.721,-106.517,-60.422,1.445,134.131,11,0.0,CHECK_FALL
2026-04-02T16:32:03.247,0.301,-1.21,-0.483,-32.881,-111.977,-61.472,1.337,131.905,11,0.0,CHECK_FALL
2026-04-02T16:32:03.247,0.312,-1.074,-0.37,8.419,-123.597,-58.602,1.178,137.045,10,0.0,CHECK_FALL
2026-04-02T16:32:03.263,0.266,-0.983,-0.272,28.719,-126.817,-55.942,1.054,141.552,11,0.0,CHECK_FALL
2026-04-02T16:32:03.279,0.216,-0.925,-0.222,40.269,-122.127,-55.382,0.975,140.013,11,0.0,CHECK_FALL
2026-04-02T16:32:03.279,0.143,-0.895,-0.167,38.309,-113.797,-54.332,0.922,131.793,10,0.0,CHECK_FALL
2026-04-02T16:32:03.295,0.063,-0.865,-0.106,32.429,-104.417,-53.912,0.873,121.906,11,0.0,CHECK_FALL
2026-04-02T16:32:03.304,0.016,-0.843,-0.079,25.849,-96.717,-55.242,0.846,114.342,11,0.0,CHECK_FALL
2026-04-02T16:32:03.317,0.003,-0.827,-0.111,33.409,-88.597,-59.022,0.834,111.576,11,0.0,CHECK_FALL
2026-04-02T16:32:03.317,0.047,-0.844,-0.063,40.549,-82.717,-61.472,0.848,110.748,10,0.0,CHECK_FALL
2026-04-02T16:32:03.334,0.093,-0.868,-0.043,44.399,-75.017,-64.202,0.874,108.262,11,0.0,CHECK_FALL
2026-04-02T16:32:03.350,0.148,-0.901,-0.063,46.079,-72.217,-66.162,0.915,108.24,11,0.0,CHECK_FALL
2026-04-02T16:32:03.360,0.169,-0.905,-0.084,47.199,-74.457,-65.602,0.925,109.887,11,0.0,CHECK_FALL
2026-04-02T16:32:03.376,0.203,-0.915,-0.077,42.789,-81.177,-63.292,0.94,111.474,10,0.0,CHECK_FALL
2026-04-02T16:32:03.380,0.239,-0.89,-0.063,36.629,-89.157,-58.532,0.923,112.768,11,0.0,CHECK_FALL
2026-04-02T16:32:03.380,0.234,-0.859,-0.061,28.369,-96.647,-56.082,0.892,115.285,11,0.0,CHECK_FALL
2026-04-02T16:32:03.396,0.214,-0.801,-0.109,32.849,-98.537,-54.612,0.836,117.35,11,0.0,CHECK_FALL
2026-04-02T16:32:03.412,0.263,-0.836,-0.049,35.439,-122.967,-50.342,0.878,137.518,10,0.0,CHECK_FALL
2026-04-02T16:32:03.428,0.272,-0.828,-0.048,41.949,-114.287,-49.782,0.873,131.528,11,0.0,CHECK_FALL
2026-04-02T16:32:03.431,0.327,-0.873,-0.034,45.519,-119.117,-46.422,0.933,135.705,11,0.0,CHECK_FALL
2026-04-02T16:32:03.452,0.299,-0.887,-0.01,45.519,-117.647,-46.632,0.937,134.489,11,0.0,CHECK_FALL
2026-04-02T16:32:03.454,0.276,-0.927,-0.056,45.029,-116.527,-46.912,0.969,133.442,10,0.0,CHECK_FALL
2026-04-02T16:32:03.470,0.232,-0.987,-0.135,42.999,-115.477,-44.602,1.022,131.047,11,0.0,CHECK_FALL
2026-04-02T16:32:03.470,0.201,-1.008,-0.153,34.879,-109.877,-43.902,1.04,123.357,11,0.0,CHECK_FALL
2026-04-02T16:32:03.487,0.195,-1.022,-0.141,20.179,-102.177,-44.042,1.05,113.08,11,0.0,CHECK_FALL
2026-04-02T16:32:03.502,0.207,-1.02,-0.132,9.539,-100.147,-42.642,1.049,109.265,10,0.0,CHECK_FALL
2026-04-02T16:32:03.502,0.188,-0.982,-0.132,8.979,-89.437,-40.402,1.009,98.549,11,0.0,CHECK_FALL
2026-04-02T16:32:03.519,0.177,-0.977,-0.183,12.339,-77.677,-32.352,1.009,85.045,11,0.0,CHECK_FALL
2026-04-02T16:32:03.536,0.139,-0.989,-0.182,20.879,-69.837,-27.452,1.015,77.889,11,0.0,CHECK_FALL
2026-04-02T16:32:03.536,0.127,-1.037,-0.103,14.089,-71.027,-25.632,1.05,76.814,10,0.0,CHECK_FALL
2026-04-02T16:32:03.553,0.126,-1.104,-0.123,7.929,-68.787,-21.362,1.118,72.463,11,0.0,CHECK_FALL
2026-04-02T16:32:03.560,0.117,-1.115,-0.187,13.599,-64.237,-17.442,1.137,67.938,11,0.0,CHECK_FALL
2026-04-02T16:32:03.579,0.139,-1.123,-0.091,2.469,-64.937,-11.072,1.135,65.921,11,0.0,CHECK_FALL
2026-04-02T16:32:03.579,0.144,-1.142,-0.057,-14.541,-69.277,-5.542,1.152,71.003,10,0.0,CHECK_FALL
2026-04-02T16:32:03.596,0.179,-1.139,-0.181,-18.041,-73.057,-2.252,1.167,75.286,11,0.0,CHECK_FALL
2026-04-02T16:32:03.610,0.215,-1.1,-0.244,-7.331,-73.337,0.408,1.147,73.704,11,0.0,CHECK_FALL
2026-04-02T16:32:03.619,0.239,-1.039,-0.218,0.439,-74.317,0.968,1.088,74.325,10,0.0,CHECK_FALL
