timestamp,AX,AY,AZ,GX,GY,GZ,ASVM,GSVM,MCU_TIME,FALL_EVENT,FALL_STATE
2026-04-02T16:42:51.987,0.066,-0.748,-0.027,85.069,-18.177,1.248,0.751,86.998,11,0.0,IDLE_FALL
2026-04-02T16:42:51.991,0.068,-0.72,-0.002,86.539,-18.387,1.598,0.723,88.485,4,0.0,CHECK_FALL
2026-04-02T16:42:51.996,0.074,-0.702,0.027,88.359,-18.457,2.298,0.706,90.295,5,0.0,CHECK_FALL
2026-04-02T16:42:52.007,0.094,-0.654,0.107,94.309,-19.227,3.628,0.67,96.317,10,0.0,CHECK_FALL
2026-04-02T16:42:52.017,0.128,-0.602,0.145,97.879,-22.377,6.008,0.632,100.584,11,0.0,CHECK_FALL
2026-04-02T16:42:52.028,0.096,-0.57,0.183,98.089,-23.637,6.498,0.607,101.106,11,0.0,CHECK_FALL
2026-04-02T16:42:52.039,0.081,-0.531,0.19,96.269,-25.317,5.098,0.57,99.673,11,0.0,CHECK_FALL
2026-04-02T16:42:52.050,0.092,-0.485,0.211,96.129,-25.387,4.958,0.537,99.548,10,0.0,CHECK_FALL
2026-04-02T16:42:52.060,0.038,-0.46,0.236,96.479,-24.547,4.048,0.518,99.635,11,0.0,CHECK_FALL
2026-04-02T16:42:52.071,0.026,-0.423,0.234,99.139,-26.157,3.278,0.484,102.584,11,0.0,CHECK_FALL
2026-04-02T16:42:52.082,0.017,-0.396,0.28,103.619,-25.247,2.018,0.486,106.669,11,0.0,CHECK_FALL
2026-04-02T16:42:52.093,0.014,-0.38,0.285,107.679,-22.867,0.478,0.475,110.081,10,0.0,CHECK_FALL
2026-04-02T16:42:52.104,0.022,-0.346,0.306,109.359,-20.487,0.198,0.462,111.262,11,0.0,CHECK_FALL
2026-04-02T16:42:52.114,0.054,-0.349,0.302,111.249,-15.307,-1.132,0.465,112.303,11,0.0,CHECK_FALL
2026-04-02T16:42:52.125,0.071,-0.351,0.321,111.599,-10.267,-3.372,0.481,112.121,11,0.0,CHECK_FALL
2026-04-02T16:42:52.135,0.092,-0.371,0.344,112.999,-6.067,-7.152,0.514,113.387,10,0.0,CHECK_FALL
2026-04-02T16:42:52.146,0.123,-0.434,0.431,109.989,0.373,-1.342,0.624,109.998,11,0.0,CHECK_FALL
2026-04-02T16:42:52.157,0.068,-0.433,0.406,105.299,-3.057,-5.542,0.598,105.489,11,0.0,CHECK_FALL
2026-04-02T16:42:52.168,0.066,-0.431,0.43,107.259,-3.757,-13.312,0.612,108.147,10,0.0,CHECK_FALL
2026-04-02T16:42:52.179,0.049,-0.433,0.452,106.909,-12.017,-17.442,0.628,108.987,11,0.0,CHECK_FALL
2026-04-02T16:42:52.190,0.04,-0.461,0.483,106.559,-21.257,-20.172,0.669,110.515,11,0.0,CHECK_FALL
2026-04-02T16:42:52.200,0.035,-0.485,0.495,107.889,-24.477,-18.632,0.694,112.189,11,0.0,CHECK_FALL
2026-04-02T16:42:52.211,0.031,-0.519,0.488,110.969,-25.737,-18.142,0.713,115.35,10,0.0,CHECK_FALL
2026-04-02T16:42:52.222,0.057,-0.559,0.497,115.239,-24.057,-17.792,0.75,119.06,11,0.0,CHECK_FALL
2026-04-02T16:42:52.232,0.117,-0.616,0.543,116.219,-18.807,-11.982,0.829,118.339,11,0.0,CHECK_FALL
2026-04-02T16:42:52.243,0.071,-0.622,0.524,110.969,-13.627,-8.202,0.817,112.103,11,0.0,CHECK_FALL
2026-04-02T16:42:52.254,0.129,-0.663,0.558,99.629,-12.647,-5.822,0.876,100.597,10,0.0,CHECK_FALL
2026-04-02T16:42:52.264,0.128,-0.67,0.602,84.859,-9.917,-4.562,0.909,85.558,11,0.0,CHECK_FALL
2026-04-02T16:42:52.275,0.136,-0.73,0.656,72.049,-4.457,-3.022,0.991,72.25,11,0.0,CHECK_FALL
