col1,col2,col3
730,510,0
733,489,0
747,515,0
701,460,0
701,467,0
709,452,0
682,455,0
698,438,0
706,458,0
694,442,0
700,461,0
715,433,0
712,448,0
711,442,0
711,445,0
713,447,0
731,467,0
724,435,0
723,465,0
705,481,0
712,452,0
758,461,0
711,448,0
704,471,0
703,459,0
702,438,0
704,480,0
688,456,0
719,452,0
698,467,0
709,441,0
736,467,0
690,430,0
742,458,0
699,459,0
708,443,0
730,465,0
722,427,0
741,456,0
724,480,0
699,443,0
725,489,0
689,445,0
709,453,0
707,479,0
690,448,0
728,477,0
706,474,0
706,438,0
714,478,0
700,428,0
728,456,0
699,451,0
708,477,0
706,469,0
704,451,0
719,455,0
690,477,0
712,458,0
720,468,0
684,458,0
717,459,0
692,472,0
699,454,0
687,475,0
698,454,0
701,472,0
712,473,0
707,453,0
699,466,0
709,458,0
707,442,0
736,464,0
674,452,0
729,468,0
698,466,0
731,459,0
690,458,0
709,453,0
716,487,0
695,455,0
702,469,0
692,459,0
674,455,0
721,467,0
672,451,0
736,497,0
760,565,0
742,516,0
782,551,0
768,547,0
1212,959,0
1476,1219,0
1960,1518,0
2786,2095,0
30883,24083,0
35759,28145,0
40506,32317,0
45572,37059,0
25226,21404,0
25385,21828,0
26219,22562,0
21765,18383,0
22355,18934,0
24506,20870,0
29035,24856,0
36953,31783,0
96219,101602,0
97432,103730,0
98171,105236,0
98486,106418,0
101014,111362,0
101289,111881,0
101343,111937,0
101381,112023,0
101577,112378,0
101612,112433,0
101788,112744,0
101936,113086,0
101974,113143,0
102013,113216,0
102138,113508,0
102158,113535,0
102290,113895,0
102346,114013,0
102627,114606,0
102672,114578,0
102836,114855,0
102874,114918,0
102829,114676,0
102771,114517,0
102917,114340,0
102992,114408,0
102594,112950,0
102688,112842,0
103414,113871,0
103659,114288,0
104466,115490,0
104566,115611,0
104590,115276,0
104649,115301,0
105808,116971,0
105924,117156,0
106135,117392,0
106170,117442,0
105983,116935,0
105916,116889,0
105799,116807,0
105733,116697,0
104986,115833,0
104885,115754,0
104386,115246,0
104306,115162,0
104348,115270,0
104402,115370,0
104657,115815,0
104788,115996,0
105415,116510,0
